"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
"1","CART","none","FFS","DROP","UNKNOWN","LABEL","1","year1",0.58978038849209,0.0485133020344288,0.975657044377424,0.863472827116077,"1.13",0.217559979950128
"2","CART","none","FFS","DROP","MISSING","LABEL","1","year1",0.594667892461765,0.0375586854460094,0.980396380870315,0.866313198257906,"2.13",0.191891634214507
"3","CART","none","FFS","DROP","MODE","LABEL","1","year1",0.594667892461765,0.0375586854460094,0.980396380870315,0.866313198257906,"3.13",0.191891634214507
"4","CART","none","FFS","DROP","DROP","LABEL","1","year1",0.590359754594506,0.0179310344827586,0.992057188244639,0.869467106405138,"4.13",0.133373954171282
"5","CART","none","FFS","MEDIAN","UNKNOWN","LABEL","1","year1",0.569142720041908,0.0277777777777778,0.988913239654506,0.854607962737052,"5.13",0.165740194921525
"6","CART","none","FFS","MEDIAN","MISSING","LABEL","1","year1",0.57991338084802,0.0476190476190476,0.975892742039448,0.846179438837751,"6.13",0.215571526306837
"7","CART","none","FFS","MEDIAN","MODE","LABEL","1","year1",0.574384171183836,0.0507936507936508,0.969962614412788,0.841521570367084,"7.13",0.221963831106286
"8","CART","none","FFS","MEDIAN","DROP","LABEL","1","year1",0.585488701018341,0.0765407554671968,0.971379685798725,0.85030262273033,"8.13",0.272672211632434
"9","CART","none","FFS","DROP","UNKNOWN","HARD","1","year1",0.597427279941798,0.0344287949921753,0.985135717363205,0.870100359780345,"9.13",0.184165783066691
"10","CART","none","FFS","DROP","MISSING","HARD","1","year1",0.597427279941798,0.0344287949921753,0.985135717363205,0.870100359780345,"10.13",0.184165783066691
"11","CART","none","FFS","DROP","MODE","HARD","1","year1",0.597427279941798,0.0344287949921753,0.985135717363205,0.870100359780345,"11.13",0.184165783066691
"12","CART","none","FFS","DROP","DROP","HARD","1","year1",0.589159020569144,0.0124137931034483,0.994638602065131,0.871029335184864,"12.13",0.111118125518475
"13","CART","none","FFS","MEDIAN","UNKNOWN","HARD","1","year1",0.602980462091587,0.026984126984127,0.990202397834214,0.855606077409338,"13.13",0.163461760797886
"14","CART","none","FFS","MEDIAN","MISSING","HARD","1","year1",0.602980462091587,0.026984126984127,0.990202397834214,0.855606077409338,"14.13",0.163461760797886
"15","CART","none","FFS","MEDIAN","MODE","HARD","1","year1",0.568036499546748,0.0531746031746032,0.969833698594818,0.841743373627592,"15.13",0.227091439883006
"16","CART","none","FFS","MEDIAN","DROP","HARD","1","year1",0.585488701018341,0.0765407554671968,0.971379685798725,0.85030262273033,"16.13",0.272672211632434
"1","CART","down","FFS","DROP","UNKNOWN","LABEL","1","year1",0.602435138380669,0.550860719874804,0.606850495476088,0.600075743230449,"1.3.7",0.578178260395823
"2","CART","down","FFS","DROP","MISSING","LABEL","1","year1",0.573107417543703,0.477308294209703,0.654028436018957,0.632645332323424,"2.3.7",0.558724616569601
"3","CART","down","FFS","DROP","MODE","LABEL","1","year1",0.573107417543703,0.477308294209703,0.654028436018957,0.632645332323424,"3.3.7",0.558724616569601
