VARIABLE NAME,DESCRIPTION,SAS ANALYSIS FORMAT,SAS SYSTEM DATA LENGTH,SAS FORMAT,FORM,VAR START DATE,VAR END DATE,FORM SECTION,DATA TYPE,INTERPRETATION_TYPE,Delete When,nas,VARIABLE LABEL IN SAS DATA,COMMENT 
ABN_CONGEN_DON,DDR:Structural Abnormalities //Congenital:,,1,1,DDR,30-Jun-04,,ORGAN RECOVERY,CHAR,CHAR,,,DDR:Structural Abnormalities //Congenital:,
ABN_LVH_DON,DDR:Structural Abnormalities //LVH:,,1,1,DDR,30-Jun-04,,ORGAN RECOVERY,CHAR,CHAR,,,DDR:Structural Abnormalities //LVH:,
ABN_VALVES_DON,DDR:Structural Abnormalities //Valves:,,1,1,DDR,30-Jun-04,,ORGAN RECOVERY,CHAR,CHAR,,,DDR:Structural Abnormalities //Valves:,
ABO,RECIPIENT BLOOD GROUP @ REGISTRATION,,3,$3.00 ,TCR,1-Oct-87,,CLINICAL INFORMATION,CHAR,CHAR,Z (I think this is fetal),Z,TCR ABO BLOOD GROUP,
ABO_DON,DONOR BLOOD TYPE,,3,$3.00 ,DDR/LDR,1-Oct-87,,DONOR INFORMATION,CHAR,CHAR,Unk,UNK,DR BLOOD TYPE,
ABO_MAT,DONOR-RECIPIENT ABO MATCH LEVEL,ABOMAT,1,,CALCULATED,,,,CHAR,CHAR,,,DONOR-RECIPIENT ABO MATCH LEVEL,
ACADEMIC_LEVEL_TCR,ACADEMIC ACTIVITY LEVEL AT LISTING,ACADLVLKI,8,6,TCR,30-Jun-04,,CANDIDATE INFORMATION,NUM,CHAR,,,TCR ACADEMIC ACTIVITY LEVEL,
ACADEMIC_LEVEL_TRR,ACADEMIC ACTIVITY LEVEL AT TRANSPLANT,ACADLVLKI,8,6,TRR,30-Jun-04,,PATIENT STATUS,NUM,CHAR,,,TRR ACADEMIC ACTIVITY LEVEL,
ACADEMIC_PRG_TCR,ACADEMIC PROGRESS AT LISTING,ACADPRG,8,6,TCR,30-Jun-04,,CANDIDATE INFORMATION,NUM,CHAR,,,TCR ACADEMIC PROGRESS,
ACADEMIC_PRG_TRR,ACADEMIC PROGRESS AT TRANSPLANT,ACADPRG,8,6,TRR,30-Jun-04,,PATIENT STATUS,NUM,CHAR,,,TRR ACADEMIC PROGRESS,
ACTIVATE_DATE,ALLOCATION TIME BEGINNING DATE,,4,MMDDYY10.,WAITING LIST DATA,1-Oct-87,,WAITING LIST DATA,NUM,D,,,WL LISTING BACK DATE,
ACUTE_REJ_EPI,DID RECIPIENT HAVE ANY ACUTE REJECTION EPISODES PRE DISCHARGE?,ACUTE_REJ_EPI,8,6,TRR,30-Jun-04,,POST TRANSPLANT CLINICAL INFORMATION,NUM,D,,,ACUTE REJECTION EPISODE,
ADMISSION_DATE,RECIPIENT DATE OF ADMISSION TO TX CENTER,,8,MMDDYY10.,TRR,25-Oct-99,,PATIENT STATUS,NUM,D,"ND, U",,TRR DATE OF ADMISSION TO TX CENTER,
ADMIT_DATE_DON,DONOR ADMIT DATE,,8,MMDDYY10.,DDR,26-Apr-06,,DONOR INFORMATION,NUM,D,,,DON ADMIT DATE,
AGE,RECIPIENT AGE (YRS),,8,3,TRR-CALCULATED,1-Oct-87,,RECIPIENT INFORMATION,NUM,NUM,,,RECIPIENT AGE,It might calculated from follow up so I just used INIT_AGE instead
AGE_DON,DONOR AGE (YRS),,8,3,DDR/LDR-CALCULATED,1-Oct-87,,DONOR INFORMATION,NUM,NUM,,,DONOR AGE (YRS),
AGE_GROUP,RECIPIENT AGE GROUP A=ADULT P=PEDS,,1,,CALCULATED,,,,CHAR,CHAR,,,,It might calculated from follow up so I just used INIT_AGE instead
ALCOHOL_HEAVY_DON,Heavy Alcohol Use (heavy=2+ drinks/day),,1,$1 ,DDR,30-Jun-04,,LIFESTYLE FACTORS,CHAR,CHAR,U,U,DDR HEAVY ALCOHOL USE (Y/N/U),
AMIS,A LOCUS MISMATCH LEVEL,,3,,CALCULATED,,,,NUM,CHAR,,,A LOCUS MISMATCH LEVEL,
ANTIHYPE_DON,DECEASED DONOR-ANTIHYPERTENSIVES W/IN 24 HRS PRE-CROSS CLAMP,,1,$1.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,U,U,DDR ANTIHYPERTENSIVES PRE-CROSS CLAMP,
ARGININE_DON,DECEASED DONOR-WAS DONOR GIVEN ARGININE VASOPRESSIN WITHIN 24 HRS PRE CROSS CLAMP?,,1,$1.00 ,DDR,30-Jun-04,,CLINICAL INFORMATION,CHAR,CHAR,U,U,DDR:Arginine Vasopressin:,
BIOPSY_DGN,"BIOPSY PERFORMED: NO, YES MYOCARDITIS, YES NEG. BIOPSY RESULT, YES OTHER DIAG. SPECIFY.",,8,6,DDR,25-Oct-99,,HEART DONOR'S CARDIAC FUNCTION,NUM,CHAR,,,DON BIOPSY,
BLOOD_INF_CONF_DON,DECEASED DONOR-INFECTION SOURCE BLOOD-CONFIRMED VIA CULTURE,,1,$1.00 ,DDR,1-Apr-94,,CLINICAL INFORMATION,CHAR,CHAR,,,DDR INFECTION BLOOD SOURCE-CONFIRMED,
BLOOD_INF_DON,DECEASED DONOR-BLOOD AS INFECTION SOURCE,,8,1,DDR,1-Apr-94,,CLINICAL INFORMATION,NUM,CHAR,,,DDR INFECTION BLOOD SOURCE,
BMI_CALC,Calculated Recipient BMI,,8,8.1,CALCULATED,,,,NUM,NUM,,,Calculated Recipient BMI,
BMI_DON_CALC,Donor BMI - Pre/At Donation Calculated,,8,,CALCULATED,,,,NUM,NUM,,,Calculated Donor BMI,
BMI_TCR,BMI AT LISTING,,8,13.4,TCR,30-Jun-04,,CLINICAL INFORMATION AT LISTING,NUM,NUM,,,TCR BMI,
BMIS,B LOCUS MISMATCH LEVEL,,3,,CALCULATED,,,,NUM,CHAR,,,B LOCUS MISMATCH LEVEL,
BRONCHO_LT_DON,DDR LEFT LUNG BRONCHOSCOPY,ABNBRONC,8,6,DDR,25-Oct-99,,ORGAN RECOVERY,NUM,CHAR,,7; 998,DDR LEFT LUNG BRONCHOSCOPY,
BRONCHO_RT_DON,DDR RIGHT LUNG BRONCHOSCOPY,ABNBRONC,8,6,DDR,25-Oct-99,,ORGAN RECOVERY,NUM,CHAR,,7; 998,DDR RIGHT LUNG BRONCHOSCOPY,
BUN_DON,DECEASED DONOR-TERMINAL BLOOD UREA NITROGEN,,8,10.2,DDR,1-Apr-94,,CLINICAL INFORMATION,NUM,NUM,,,DDR TERMINAL BLOOD UREA NITROGEN,
