"AUC","Sensitivity","Specificity","Accuracy","data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET"
0.582812134427514,0.0688575899843505,0.954545454545455,0.847377390645711,"3","ranger","none","FFS","DROP","MODE","LABEL","1","year1"
0.528984689545616,0.0427586206896552,0.974583002382844,0.857316438118382,"4","ranger","none","FFS","DROP","DROP","LABEL","1","year1"
0.555595253442359,0.0420634920634921,0.963645739332216,0.834867472551846,"7","ranger","none","FFS","MEDIAN","MODE","LABEL","1","year1"
0.571275257152064,0.0516898608349901,0.983045574739462,0.857027572293208,"8","ranger","none","FFS","MEDIAN","DROP","LABEL","1","year1"
0.575141981189642,0.0672926447574335,0.960577337354589,0.852490058701004,"11","ranger","none","FFS","DROP","MODE","HARD","1","year1"
0.543405685957656,0.0289655172413793,0.982128673550437,0.862176705433085,"12","ranger","none","FFS","DROP","DROP","HARD","1","year1"
0.549853332678523,0.0515873015873016,0.957199948433673,0.830653210602196,"15","ranger","none","FFS","MEDIAN","MODE","HARD","1","year1"
0.571275257152064,0.0516898608349901,0.983045574739462,0.857027572293208,"16","ranger","none","FFS","MEDIAN","DROP","HARD","1","year1"
0.632877570849001,0.0156494522691706,0.997845756139595,0.879000189358076,"3","ranger","none","LASSO","DROP","MODE","LABEL","1","year1"
0.607281778094273,0.00137931034482759,0.99801429706116,0.872591563964589,"4","ranger","none","LASSO","DROP","DROP","LABEL","1","year1"
0.63954554104741,0.0126984126984127,0.998324094366379,0.860596650770766,"7","ranger","none","LASSO","MEDIAN","MODE","LABEL","1","year1"
0.635884258919959,0.0228628230616302,0.997666822211853,0.86577000672495,"8","ranger","none","LASSO","MEDIAN","DROP","LABEL","1","year1"
0.609538243391124,0.0172143974960876,0.996553209823352,0.878053398977466,"11","ranger","none","LASSO","DROP","MODE","HARD","1","year1"
0.612095943688204,0.00275862068965517,0.998411437648928,0.873112306891165,"12","ranger","none","LASSO","DROP","DROP","HARD","1","year1"
0.635468169047517,0.0150793650793651,0.998195178548408,0.860818454031274,"15","ranger","none","LASSO","MEDIAN","MODE","HARD","1","year1"
0.63288413862756,0.0228628230616302,0.997666822211853,0.86577000672495,"16","ranger","none","LASSO","MEDIAN","DROP","HARD","1","year1"
0.593395742351086,0.247261345852895,0.848125807841448,0.775421321719371,"3","ranger","smote","FFS","DROP","MODE","LABEL","1","year1"
0.549980553805703,0.24551724137931,0.795075456711676,0.725915639645895,"4","ranger","smote","FFS","DROP","DROP","LABEL","1","year1"
0.540005187326961,0.249206349206349,0.792703364702849,0.716757236331374,"7","ranger","smote","FFS","MEDIAN","MODE","LABEL","1","year1"
0.577519638739348,0.202783300198807,0.856898428993623,0.768392737054472,"8","ranger","smote","FFS","MEDIAN","DROP","LABEL","1","year1"
0.578573263507514,0.283255086071987,0.825290822921155,0.75970460140125,"11","ranger","smote","FFS","DROP","MODE","HARD","1","year1"
0.538921968721755,0.303448275862069,0.754765687053217,0.697969102586357,"12","ranger","smote","FFS","DROP","DROP","HARD","1","year1"
0.535396958405209,0.254761904761905,0.790253964161403,0.715426416768327,"15","ranger","smote","FFS","MEDIAN","MODE","HARD","1","year1"
0.577519638739348,0.202783300198807,0.856898428993623,0.768392737054472,"16","ranger","smote","FFS","MEDIAN","DROP","HARD","1","year1"
0.648884715252114,0.125195618153365,0.938173201206377,0.839803067600833,"3","ranger","smote","LASSO","DROP","MODE","LABEL","1","year1"
0.613442113335707,0.11448275862069,0.940826052422558,0.836833883006422,"4","ranger","smote","LASSO","DROP","DROP","LABEL","1","year1"
0.649392049372711,0.0952380952380952,0.969833698594818,0.847621160031052,"7","ranger","smote","LASSO","MEDIAN","MODE","LABEL","1","year1"
0.647143426576951,0.136182902584493,0.955980712396951,0.845057162071284,"8","ranger","smote","LASSO","MEDIAN","DROP","LABEL","1","year1"
0.599101960125924,0.250391236306729,0.854588539422663,0.781480780155274,"11","ranger","smote","LASSO","DROP","MODE","HARD","1","year1"
0.594231190600093,0.169655172413793,0.892573471008737,0.801596944974831,"12","ranger","smote","LASSO","DROP","DROP","HARD","1","year1"
0.639572296195346,0.107142857142857,0.95526621116411,0.836752800266164,"15","ranger","smote","LASSO","MEDIAN","MODE","HARD","1","year1"
0.628660684825563,0.159045725646123,0.926893762638046,0.822999327505044,"16","ranger","smote","LASSO","MEDIAN","DROP","HARD","1","year1"
0.571760212735026,0.0275974025974026,0.989635157545605,0.880698529411765,"3","ranger","none","FFS","DROP","MODE","LABEL","2","year1"
0.537015580425718,0.0185714285714286,0.985215053763441,0.870683818551117,"4","ranger","none","FFS","DROP","DROP","LABEL","2","year1"
0.55741544595161,0.0313790255986788,0.986036382270049,0.857824110014417,"7","ranger","none","FFS","MEDIAN","MODE","LABEL","2","year1"
0.573804683223761,0.0332986472424558,0.99056890781868,0.868480424684804,"8","ranger","none","FFS","MEDIAN","DROP","LABEL","2","year1"
0.575016388565828,0.0308441558441558,0.987976782752902,0.879595588235294,"11","ranger","none","FFS","DROP","MODE","HARD","2","year1"
0.538564159534781,0.0157142857142857,0.986943164362519,0.87186865267434,"12","ranger","none","FFS","DROP","DROP","HARD","2","year1"
0.560305196218878,0.0198183319570603,0.983986676915193,0.854497061106798,"15","ranger","none","FFS","MEDIAN","MODE","HARD","2","year1"
0.573804683223761,0.0332986472424558,0.99056890781868,0.868480424684804,"16","ranger","none","FFS","MEDIAN","DROP","HARD","2","year1"
0.626670153022765,0.0162337662337662,0.997927031509121,0.886764705882353,"3","ranger","none","LASSO","DROP","MODE","LABEL","2","year1"
0.595541200351108,0.00285714285714286,0.999039938556068,0.881008801624915,"4","ranger","none","LASSO","DROP","DROP","LABEL","2","year1"
0.622922975466373,0.0165152766308836,0.998206507814502,0.866363535543972,"7","ranger","none","LASSO","MEDIAN","MODE","LABEL","2","year1"
0.621783951979339,0.0176899063475546,0.997870398539702,0.8728599867286,"8","ranger","none","LASSO","MEDIAN","DROP","LABEL","2","year1"
0.60927942807607,0.0211038961038961,0.996890547263682,0.886397058823529,"11","ranger","none","LASSO","DROP","MODE","HARD","2","year1"
0.607434441518542,0.00285714285714286,0.999615975422427,0.881516587677725,"12","ranger","none","LASSO","DROP","DROP","HARD","2","year1"
0.622826869081417,0.0123864574731627,0.998078401229823,0.865698125762449,"15","ranger","none","LASSO","MEDIAN","MODE","HARD","2","year1"
0.618876841795019,0.0197710718002081,0.997870398539702,0.873125414731254,"16","ranger","none","LASSO","MEDIAN","DROP","HARD","2","year1"
0.577165579031251,0.274350649350649,0.816749585406302,0.755330882352941,"3","ranger","smote","FFS","DROP","MODE","LABEL","2","year1"
0.557914335088874,0.275714285714286,0.786098310291859,0.725626269465132,"4","ranger","smote","FFS","DROP","DROP","LABEL","2","year1"
0.552534066725018,0.265070189925681,0.805021778119395,0.732505267827437,"7","ranger","smote","FFS","MEDIAN","MODE","LABEL","2","year1"
0.582163535157419,0.216441207075963,0.868268938241558,0.78513603185136,"8","ranger","smote","FFS","MEDIAN","DROP","LABEL","2","year1"
0.58163794124615,0.274350649350649,0.837271973466003,0.773529411764706,"11","ranger","smote","FFS","DROP","MODE","HARD","2","year1"
0.544624478823787,0.282857142857143,0.762480798771121,0.705653351387948,"12","ranger","smote","FFS","DROP","DROP","HARD","2","year1"
