data_scenario,algorithm,resampling,feature_selection,imputation_num,imputation_cat,encoding,fold,TARGET,auc,sen,spec,accu,ID,gmean
4,glmnet,none,RF,DROP,DROP,LABEL,5,year1,0.5816618,0,1,0.8779319,4.2.6.3,0
12,glmnet,none,RF,DROP,DROP,HARD,5,year1,0.5829872,0,1,0.8779319,4.2.6.4,0
4,glmnet,none,RF,DROP,DROP,LABEL,2,year1,0.5569273,0,1,0.8815166,12.2.6.2,0
4,glmnet,none,RF,DROP,DROP,LABEL,3,year1,0.5967755,0,0.9996068,0.8742906,12.2.6.4,0
1,glm,none,FFS,DROP,UNKNOWN,LABEL,1,year1,0.619174018,0.004694836,0.999138302,0.878810831,1,0.068489343
2,glm,none,FFS,DROP,MISSING,LABEL,1,year1,0.608194622,0.006259781,0.999138302,0.879000189,2,0.079084682
3,glm,none,FFS,DROP,MODE,LABEL,1,year1,0.608194622,0.006259781,0.999138302,0.879000189,3,0.079084682
4,glm,none,FFS,DROP,DROP,LABEL,1,year1,0.620157213,0.002758621,0.998808578,0.873459469,4,0.052491276
5,glm,none,FFS,MEDIAN,UNKNOWN,LABEL,1,year1,0.607520447,0.001587302,0.999226505,0.859820339,5,0.039825542
6,glm,none,FFS,MEDIAN,MISSING,LABEL,1,year1,0.598889738,0.001587302,0.999097589,0.859709438,6,0.039822973
7,glm,none,FFS,MEDIAN,MODE,LABEL,1,year1,0.597173828,0.001587302,0.999097589,0.859709438,7,0.039822973
8,glm,none,FFS,MEDIAN,DROP,LABEL,1,year1,0.620602176,0.004970179,0.998289003,0.863887021,8,0.070439158
9,glm,none,FFS,DROP,UNKNOWN,HARD,1,year1,0.6217967,0.004694836,0.998922878,0.878621473,9,0.068481959
10,glm,none,FFS,DROP,MISSING,HARD,1,year1,0.6217967,0.004694836,0.998922878,0.878621473,10,0.068481959
11,glm,none,FFS,DROP,MODE,HARD,1,year1,0.6217967,0.004694836,0.998922878,0.878621473,11,0.068481959
12,glm,none,FFS,DROP,DROP,HARD,1,year1,0.599456602,0.004137931,0.999007149,0.873806631,12,0.064294811
13,glm,none,FFS,MEDIAN,UNKNOWN,HARD,1,year1,0.616551154,0.002380952,0.999226505,0.859931241,13,0.048776129
14,glm,none,FFS,MEDIAN,MISSING,HARD,1,year1,0.616551154,0.002380952,0.999226505,0.859931241,14,0.048776129
15,glm,none,FFS,MEDIAN,MODE,HARD,1,year1,0.605062555,0.001587302,0.999097589,0.859709438,15,0.039822973
16,glm,none,FFS,MEDIAN,DROP,HARD,1,year1,0.620602176,0.004970179,0.998289003,0.863887021,16,0.070439158
1,glm,none,LASSO,DROP,UNKNOWN,LABEL,1,year1,0.650067864,0.004694836,0.998922878,0.878621473,1.1,0.068481959
2,glm,none,LASSO,DROP,MISSING,LABEL,1,year1,0.649347423,0.004694836,0.998707454,0.878432115,2.1,0.068474575
3,glm,none,LASSO,DROP,MODE,LABEL,1,year1,0.661200484,0.004694836,0.998707454,0.878432115,3.1,0.068474575
4,glm,none,LASSO,DROP,DROP,LABEL,1,year1,0.63940155,0.002758621,0.999007149,0.87363305,4.1,0.052496493
5,glm,none,LASSO,MEDIAN,UNKNOWN,LABEL,1,year1,0.652373177,0.007142857,0.998324094,0.859820339,5.1,0.084444576
6,glm,none,LASSO,MEDIAN,MISSING,LABEL,1,year1,0.651072457,0.006349206,0.998324094,0.859709438,6.1,0.07961511
7,glm,none,LASSO,MEDIAN,MODE,LABEL,1,year1,0.654688955,0.007936508,0.99845301,0.860042143,7.1,0.089018146
8,glm,none,LASSO,MEDIAN,DROP,LABEL,1,year1,0.651948938,0.00695825,0.997977913,0.863887021,8.1,0.083331748
9,glm,none,LASSO,DROP,UNKNOWN,HARD,1,year1,0.657496802,0.004694836,0.998707454,0.878432115,9.1,0.068474575
10,glm,none,LASSO,DROP,MISSING,HARD,1,year1,0.653741878,0.004694836,0.998922878,0.878621473,10.1,0.068481959
11,glm,none,LASSO,DROP,MODE,HARD,1,year1,0.653741878,0.004694836,0.998922878,0.878621473,11.1,0.068481959
12,glm,none,LASSO,DROP,DROP,HARD,1,year1,0.643416505,0.002758621,0.999205719,0.873806631,12.1,0.05250171
13,glm,none,LASSO,MEDIAN,UNKNOWN,HARD,1,year1,0.662665365,0.011111111,0.998195179,0.860263946,13.1,0.10531409
14,glm,none,LASSO,MEDIAN,MISSING,HARD,1,year1,0.661861483,0.011904762,0.998066263,0.860263946,14.1,0.1090034
15,glm,none,LASSO,MEDIAN,MODE,HARD,1,year1,0.660560149,0.008730159,0.998324094,0.860042143,15.1,0.093356991
16,glm,none,LASSO,MEDIAN,DROP,HARD,1,year1,0.65882385,0.005964215,0.997666822,0.863483524,16.1,0.077138182
1,glm,none,RF,DROP,UNKNOWN,LABEL,1,year1,0.647223857,0.010954617,0.998707454,0.879189547,1.2,0.104596641
2,glm,none,RF,DROP,MISSING,LABEL,1,year1,0.63628104,0.004694836,0.999569151,0.879189547,2.2,0.068504109
3,glm,none,RF,DROP,MODE,LABEL,1,year1,0.646716143,0.006259781,0.998707454,0.878621473,3.2,0.079067628
4,glm,none,RF,DROP,DROP,LABEL,1,year1,0.631957766,0.005517241,0.999007149,0.873980212,4.2,0.074241253
5,glm,none,RF,MEDIAN,UNKNOWN,LABEL,1,year1,0.645741481,0.004761905,0.999355421,0.860374848,5.2,0.068984312
6,glm,none,RF,MEDIAN,MISSING,LABEL,1,year1,0.643183832,0.007936508,0.998324094,0.859931241,6.2,0.089012399
7,glm,none,RF,MEDIAN,MODE,LABEL,1,year1,0.644975557,0.006349206,0.998195179,0.859598536,7.2,0.079609969
8,glm,none,RF,MEDIAN,DROP,LABEL,1,year1,0.638818821,0.004970179,0.999066729,0.864559516,8.2,0.070466591
9,glm,none,RF,DROP,UNKNOWN,HARD,1,year1,0.651822949,0.006259781,0.998707454,0.878621473,9.2,0.079067628
10,glm,none,RF,DROP,MISSING,HARD,1,year1,0.651301076,0.004694836,0.998492029,0.878242757,10.2,0.068467189
11,glm,none,RF,DROP,MODE,HARD,1,year1,0.65304807,0.006259781,0.998492029,0.878432115,11.2,0.0790591
12,glm,none,RF,DROP,DROP,HARD,1,year1,0.635115719,0.002758621,0.999007149,0.87363305,12.2,0.052496493
13,glm,none,RF,MEDIAN,UNKNOWN,HARD,1,year1,0.638649065,0.004761905,0.999097589,0.860153044,13.2,0.068975413
14,glm,none,RF,MEDIAN,MISSING,HARD,1,year1,0.635805652,0.004761905,0.999226505,0.860263946,14.2,0.068979863
15,glm,none,RF,MEDIAN,MODE,HARD,1,year1,0.634016076,0.003968254,0.998968673,0.859931241,15.2,0.062961587
16,glm,none,RF,MEDIAN,DROP,HARD,1,year1,0.648422577,0.007952286,0.997666822,0.863752522,16.2,0.0890715
1,glm,down,FFS,DROP,UNKNOWN,LABEL,1,year1,0.62732306,0.543035994,0.635501939,0.624313577,1.3,0.587452489
2,glm,down,FFS,DROP,MISSING,LABEL,1,year1,0.616639663,0.538341158,0.639595002,0.627343306,2.3,0.586788134
3,glm,down,FFS,DROP,MODE,LABEL,1,year1,0.616639663,0.538341158,0.639595002,0.627343306,3.3,0.586788134
4,glm,down,FFS,DROP,DROP,LABEL,1,year1,0.621540632,0.566896552,0.605440826,0.600590175,4.3,0.585851787
5,glm,down,FFS,MEDIAN,UNKNOWN,LABEL,1,year1,0.612133587,0.543650794,0.626917623,0.615282245,5.3,0.583801561
6,glm,down,FFS,MEDIAN,MISSING,LABEL,1,year1,0.605228508,0.527777778,0.617893516,0.605301098,6.3,0.571060826
7,glm,down,FFS,MEDIAN,MODE,LABEL,1,year1,0.604089138,0.521428571,0.61931159,0.605633803,7.3,0.568266449
8,glm,down,FFS,MEDIAN,DROP,LABEL,1,year1,0.621011758,0.541749503,0.642868253,0.629186281,8.3,0.590147064
9,glm,down,FFS,DROP,UNKNOWN,HARD,1,year1,0.6296221,0.55086072,0.619129685,0.610869154,9.3,0.58399848
10,glm,down,FFS,DROP,MISSING,HARD,1,year1,0.6296221,0.55086072,0.619129685,0.610869154,10.3,0.58399848
11,glm,down,FFS,DROP,MODE,HARD,1,year1,0.6296221,0.55086072,0.619129685,0.610869154,11.3,0.58399848
12,glm,down,FFS,DROP,DROP,HARD,1,year1,0.603074964,0.511724138,0.636616362,0.620899149,12.3,0.570764364
13,glm,down,FFS,MEDIAN,UNKNOWN,HARD,1,year1,0.62087761,0.58015873,0.598556143,0.595985361,13.3,0.589285645
14,glm,down,FFS,MEDIAN,MISSING,HARD,1,year1,0.62087761,0.58015873,0.598556143,0.595985361,14.3,0.589285645
15,glm,down,FFS,MEDIAN,MODE,HARD,1,year1,0.611362241,0.564285714,0.604099523,0.598536098,15.3,0.583853347
16,glm,down,FFS,MEDIAN,DROP,HARD,1,year1,0.621011758,0.541749503,0.642868253,0.629186281,16.3,0.590147064
1,glm,down,LASSO,DROP,UNKNOWN,LABEL,1,year1,0.653644111,0.58372457,0.632055149,0.626207158,1.1.1,0.607409351
2,glm,down,LASSO,DROP,MISSING,LABEL,1,year1,0.652135129,0.599374022,0.641533822,0.636432494,2.1.1,0.620095724
3,glm,down,LASSO,DROP,MODE,LABEL,1,year1,0.665964093,0.607198748,0.642180095,0.637947358,3.1.1,0.624444513
4,glm,down,LASSO,DROP,DROP,LABEL,1,year1,0.639331434,0.577931034,0.62152502,0.616038882,4.1.1,0.599331793
5,glm,down,LASSO,MEDIAN,UNKNOWN,LABEL,1,year1,0.651195643,0.593650794,0.625628465,0.621160031,5.1.1,0.609429926
6,glm,down,LASSO,MEDIAN,MISSING,LABEL,1,year1,0.652953502,0.584126984,0.625112801,0.619385605,6.1.1,0.604272501
7,glm,down,LASSO,MEDIAN,MODE,LABEL,1,year1,0.657358126,0.599206349,0.631558592,0.627037817,7.1.1,0.615169829
8,glm,down,LASSO,MEDIAN,DROP,LABEL,1,year1,0.649442434,0.568588469,0.641934982,0.63201076,8.1.1,0.604149674
9,glm,down,LASSO,DROP,UNKNOWN,HARD,1,year1,0.662128932,0.602503912,0.637656183,0.633402765,9.1.1,0.6198309
10,glm,down,LASSO,DROP,MISSING,HARD,1,year1,0.657071685,0.599374022,0.626023266,0.622798712,10.1.1,0.612553739
11,glm,down,LASSO,DROP,MODE,HARD,1,year1,0.657071685,0.599374022,0.626023266,0.622798712,11.1.1,0.612553739
12,glm,down,LASSO,DROP,DROP,HARD,1,year1,0.638935663,0.577931034,0.615766481,0.611005034,12.1.1,0.596548874
13,glm,down,LASSO,MEDIAN,UNKNOWN,HARD,1,year1,0.659822567,0.611904762,0.628464613,0.626150604,13.1.1,0.620129413
