"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
"1","catboost","none","FFS","DROP","UNKNOWN","LABEL","1","year1",0.541707037668589,0.0453834115805947,0.968763464024127,0.85703465252793,"1.71",0.20968021130295
"2","catboost","none","FFS","DROP","MISSING","LABEL","1","year1",0.560815248135855,0.054773082942097,0.979534683326153,0.867638704790759,"2.71",0.231629303963216
"3","catboost","none","FFS","DROP","MODE","LABEL","1","year1",0.560815248135855,0.054773082942097,0.979534683326153,0.867638704790759,"3.71",0.231629303963216
"4","catboost","none","FFS","DROP","DROP","LABEL","1","year1",0.573642463914985,0.0317241379310345,0.988085782366958,0.867731296649887,"4.71",0.177048495185651
"5","catboost","none","FFS","MEDIAN","UNKNOWN","LABEL","1","year1",0.577528540529701,0.030952380952381,0.988397576382622,0.854607962737052,"5.71",0.174909285964482
"6","catboost","none","FFS","MEDIAN","MISSING","LABEL","1","year1",0.549856402102759,0.030952380952381,0.981049374758283,0.848286569812576,"6.71",0.174257895030938
"7","catboost","none","FFS","MEDIAN","MODE","LABEL","1","year1",0.560092215735505,0.0349206349206349,0.983498775299729,0.850948208938671,"7.71",0.185322426266044
"8","catboost","none","FFS","MEDIAN","DROP","LABEL","1","year1",0.558486226829412,0.0546719681908549,0.974335044330378,0.849899125756557,"8.71",0.230800378142813
"9","catboost","none","FFS","DROP","UNKNOWN","HARD","1","year1",0.551884912808749,0.054773082942097,0.979103834554072,0.867259988638515,"9.71",0.231578357233476
"10","catboost","none","FFS","DROP","MISSING","HARD","1","year1",0.551884912808749,0.054773082942097,0.979103834554072,0.867259988638515,"10.71",0.231578357233476
"11","catboost","none","FFS","DROP","MODE","HARD","1","year1",0.551884912808749,0.054773082942097,0.979103834554072,0.867259988638515,"11.71",0.231578357233476
"12","catboost","none","FFS","DROP","DROP","HARD","1","year1",0.56943660814549,0.0193103448275862,0.991858617950755,0.869467106405138,"12.71",0.138394840701676
"13","catboost","none","FFS","MEDIAN","UNKNOWN","HARD","1","year1",0.584815660611716,0.0301587301587302,0.987108418202914,0.853388044804259,"13.71",0.172539666227777
"14","catboost","none","FFS","MEDIAN","MISSING","HARD","1","year1",0.584815660611716,0.0301587301587302,0.987108418202914,0.853388044804259,"14.71",0.172539666227777
"15","catboost","none","FFS","MEDIAN","MODE","HARD","1","year1",0.574330814359176,0.0388888888888889,0.980275879850458,0.848730176333592,"15.71",0.195248149215203
"16","catboost","none","FFS","MEDIAN","DROP","HARD","1","year1",0.558486226829412,0.0546719681908549,0.974335044330378,0.849899125756557,"16.71",0.230800378142813
"1","catboost","none","LASSO","DROP","UNKNOWN","LABEL","1","year1",0.552550402226659,0.0782472613458529,0.955838000861698,0.849649687559174,"1.1.51",0.273480723009361
"2","catboost","none","LASSO","DROP","MISSING","LABEL","1","year1",0.48984589233905,0.054773082942097,0.945713054717794,0.837909486839614,"2.1.51",0.227595297810569
"3","catboost","none","LASSO","DROP","MODE","LABEL","1","year1",0.509605432874908,0.0876369327073552,0.948513571736321,0.84434766142776,"3.1.51",0.288313752808063
"4","catboost","none","LASSO","DROP","DROP","LABEL","1","year1",0.510410287310673,0.0662068965517241,0.954527402700556,0.842735636174275,"4.1.51",0.251388736832782
