data_scenario,algorithm,resampling,feature_selection,imputation_num,imputation_cat,encoding,fold,TARGET,auc,sen,spec,accu,ID,gmean
1,glmnet,none,FFS,DROP,UNKNOWN,LABEL,1,year1,0.61975354,0.004694836,0.999353727,0.879000189,1.8,0.068496726
2,glmnet,none,FFS,DROP,MISSING,LABEL,1,year1,0.609230278,0.004694836,0.999353727,0.879000189,2.8,0.068496726
3,glmnet,none,FFS,DROP,MODE,LABEL,1,year1,0.609230278,0.004694836,0.999353727,0.879000189,3.8,0.068496726
4,glmnet,none,FFS,DROP,DROP,LABEL,1,year1,0.62055271,0.00137931,0.999404289,0.873806631,4.8,0.037128004
5,glmnet,none,FFS,MEDIAN,UNKNOWN,LABEL,1,year1,0.607112726,0.000793651,0.999484337,0.859931241,5.8,0.028164544
6,glmnet,none,FFS,MEDIAN,MISSING,LABEL,1,year1,0.599554268,0.000793651,0.999613253,0.860042143,6.8,0.02816636
7,glmnet,none,FFS,MEDIAN,MODE,LABEL,1,year1,0.597674553,0.000793651,0.999613253,0.860042143,7.8,0.02816636
8,glmnet,none,FFS,MEDIAN,DROP,LABEL,1,year1,0.62180139,0.003976143,0.998600093,0.86402152,8.8,0.063012514
9,glmnet,none,FFS,DROP,UNKNOWN,HARD,1,year1,0.622382627,0.004694836,0.999353727,0.879000189,9.8,0.068496726
10,glmnet,none,FFS,DROP,MISSING,HARD,1,year1,0.622382627,0.004694836,0.999353727,0.879000189,10.8,0.068496726
11,glmnet,none,FFS,DROP,MODE,HARD,1,year1,0.622382627,0.004694836,0.999353727,0.879000189,11.8,0.068496726
12,glmnet,none,FFS,DROP,DROP,HARD,1,year1,0.600901098,0.00137931,0.999404289,0.873806631,12.8,0.037128004
13,glmnet,none,FFS,MEDIAN,UNKNOWN,HARD,1,year1,0.615639535,0.000793651,0.999484337,0.859931241,13.8,0.028164544
14,glmnet,none,FFS,MEDIAN,MISSING,HARD,1,year1,0.615639535,0.000793651,0.999484337,0.859931241,14.8,0.028164544
15,glmnet,none,FFS,MEDIAN,MODE,HARD,1,year1,0.60533778,0.000793651,0.999613253,0.860042143,15.8,0.02816636
16,glmnet,none,FFS,MEDIAN,DROP,HARD,1,year1,0.62180139,0.003976143,0.998600093,0.86402152,16.8,0.063012514
1,glmnet,down,FFS,DROP,UNKNOWN,LABEL,1,year1,0.624396458,0.516431925,0.651012495,0.634728271,1.3.2,0.579830696
2,glmnet,down,FFS,DROP,MISSING,LABEL,1,year1,0.613235688,0.528951487,0.646273158,0.632077258,2.3.2,0.58467696
3,glmnet,down,FFS,DROP,MODE,LABEL,1,year1,0.613235688,0.528951487,0.646273158,0.632077258,3.3.2,0.58467696
4,glmnet,down,FFS,DROP,DROP,LABEL,1,year1,0.621717838,0.582068966,0.600675139,0.598333623,4.3.2,0.591298873
