"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
"1","kernelpls","none","FFS","DROP","UNKNOWN","LABEL","1","year1",0.608804654245546,0.00469483568075117,0.999353726841879,0.879000189358076,"1.11",0.0684967264507503
"2","kernelpls","none","FFS","DROP","MISSING","LABEL","1","year1",0.59898531405774,0.00469483568075117,0.999569151227919,0.879189547434198,"2.11",0.0685041087567965
"3","kernelpls","none","FFS","DROP","MODE","LABEL","1","year1",0.59898531405774,0.00469483568075117,0.999569151227919,0.879189547434198,"3.11",0.0685041087567965
"4","kernelpls","none","FFS","DROP","DROP","LABEL","1","year1",0.621354112459258,0.00137931034482759,0.999205718824464,0.87363304981774,"4.11",0.0371243152742979
"5","kernelpls","none","FFS","MEDIAN","UNKNOWN","LABEL","1","year1",0.612657026628279,0.00158730158730159,0.999226505092175,0.859820339358989,"5.11",0.0398255422763661
"6","kernelpls","none","FFS","MEDIAN","MISSING","LABEL","1","year1",0.599315364923846,0.000793650793650794,0.999613252546087,0.860042142619497,"6.11",0.0281663602765259
"7","kernelpls","none","FFS","MEDIAN","MODE","LABEL","1","year1",0.599399774090376,0.000793650793650794,0.999355420910146,0.859820339358989,"7.11",0.0281627275480299
"8","kernelpls","none","FFS","MEDIAN","DROP","LABEL","1","year1",0.615921132096826,0.00397614314115308,0.999222274070617,0.864559515803631,"8.11",0.0630321409404224
"9","kernelpls","none","FFS","DROP","UNKNOWN","HARD","1","year1",0.602242975782793,0.00469483568075117,0.999569151227919,0.879189547434198,"9.11",0.0685041087567965
"10","kernelpls","none","FFS","DROP","MISSING","HARD","1","year1",0.602242975782793,0.00469483568075117,0.999569151227919,0.879189547434198,"10.11",0.0685041087567965
"11","kernelpls","none","FFS","DROP","MODE","HARD","1","year1",0.602242975782793,0.00469483568075117,0.999569151227919,0.879189547434198,"11.11",0.0685041087567965
"12","kernelpls","none","FFS","DROP","DROP","HARD","1","year1",0.602082660020268,0.00137931034482759,0.999205718824464,0.87363304981774,"12.11",0.0371243152742979
"13","kernelpls","none","FFS","MEDIAN","UNKNOWN","HARD","1","year1",0.612112868868057,0.00238095238095238,0.999226505092175,0.859931240989243,"13.11",0.0487761286533683
"14","kernelpls","none","FFS","MEDIAN","MISSING","HARD","1","year1",0.612112868868057,0.00238095238095238,0.999226505092175,0.859931240989243,"14.11",0.0487761286533683
"15","kernelpls","none","FFS","MEDIAN","MODE","HARD","1","year1",0.598718873480379,0.000793650793650794,0.999355420910146,0.859820339358989,"15.11",0.0281627275480299
"16","kernelpls","none","FFS","MEDIAN","DROP","HARD","1","year1",0.615921132096826,0.00397614314115308,0.999222274070617,0.864559515803631,"16.11",0.0630321409404224
"1","kernelpls","none","LASSO","DROP","UNKNOWN","LABEL","1","year1",0.650419824707256,0.00469483568075117,0.999138302455838,0.878810831281954,"1.1.9",0.0684893433489826
"2","kernelpls","none","LASSO","DROP","MISSING","LABEL","1","year1",0.643951699088205,0.00469483568075117,0.999138302455838,0.878810831281954,"2.1.9",0.0684893433489826
"3","kernelpls","none","LASSO","DROP","MODE","LABEL","1","year1",0.659200644048117,0.00469483568075117,0.999138302455838,0.878810831281954,"3.1.9",0.0684893433489826
"4","kernelpls","none","LASSO","DROP","DROP","LABEL","1","year1",0.641669633808989,0.00137931034482759,0.999205718824464,0.87363304981774,"4.1.9",0.0371243152742979
"5","kernelpls","none","LASSO","MEDIAN","UNKNOWN","LABEL","1","year1",0.655462449687021,0.00317460317460317,0.998968673456233,0.859820339358989,"5.1.9",0.0563145551530266
"6","kernelpls","none","LASSO","MEDIAN","MISSING","LABEL","1","year1",0.65378081446149,0.00317460317460317,0.998968673456233,0.859820339358989,"6.1.9",0.0563145551530266
"7","kernelpls","none","LASSO","MEDIAN","MODE","LABEL","1","year1",0.657201380831652,0.00317460317460317,0.998968673456233,0.859820339358989,"7.1.9",0.0563145551530266
"8","kernelpls","none","LASSO","MEDIAN","DROP","LABEL","1","year1",0.651410250582366,0.00397614314115308,0.999066728884741,0.864425016812374,"8.1.9",0.0630272347609294
"9","kernelpls","none","LASSO","DROP","UNKNOWN","HARD","1","year1",0.658662251646698,0.00469483568075117,0.999138302455838,0.878810831281954,"9.1.9",0.0684893433489826
"10","kernelpls","none","LASSO","DROP","MISSING","HARD","1","year1",0.650912367787076,0.00625978090766823,0.998922878069798,0.878810831281954,"10.1.9",0.0790761554476083
"11","kernelpls","none","LASSO","DROP","MODE","HARD","1","year1",0.650912367787076,0.00625978090766823,0.998922878069798,0.878810831281954,"11.1.9",0.0790761554476083
"12","kernelpls","none","LASSO","DROP","DROP","HARD","1","year1",0.64764755827011,0.00137931034482759,0.999205718824464,0.87363304981774,"12.1.9",0.0371243152742979
"13","kernelpls","none","LASSO","MEDIAN","UNKNOWN","HARD","1","year1",0.664235580356502,0.00396825396825397,0.999097589274204,0.860042142619497,"13.1.9",0.0629656491534101
