"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
"1","lda","none","FFS","DROP","UNKNOWN","LABEL","1","year1",0.622992996516126,0.00938967136150235,0.998061180525636,0.87843211512971,"1.7",0.09680633493635
"2","lda","none","FFS","DROP","MISSING","LABEL","1","year1",0.613265354971516,0.00938967136150235,0.997414907367514,0.877864040901344,"2.7",0.0967749874256993
"3","lda","none","FFS","DROP","MODE","LABEL","1","year1",0.613265354971516,0.00938967136150235,0.997414907367514,0.877864040901344,"3.7",0.0967749874256993
"4","lda","none","FFS","DROP","DROP","LABEL","1","year1",0.622255210758401,0.00827586206896552,0.99801429706116,0.873459468842215,"4.7",0.0908813988962193
"5","lda","none","FFS","MEDIAN","UNKNOWN","LABEL","1","year1",0.609277897485324,0.00238095238095238,0.99858192600232,0.859376732837973,"5.7",0.0487603939103371
"6","lda","none","FFS","MEDIAN","MISSING","LABEL","1","year1",0.601023397197819,0.00317460317460317,0.99845301018435,0.859376732837973,"6.7",0.0563000186129928
"7","lda","none","FFS","MEDIAN","MODE","LABEL","1","year1",0.599367954392448,0.00317460317460317,0.99845301018435,0.859376732837973,"7.7",0.0563000186129928
"8","lda","none","FFS","MEDIAN","DROP","LABEL","1","year1",0.625721406511932,0.0139165009940358,0.997511277025976,0.864425016812374,"8.7",0.117821333714629
"9","lda","none","FFS","DROP","UNKNOWN","HARD","1","year1",0.625600845245728,0.00938967136150235,0.997845756139595,0.878242757053588,"9.7",0.0967958868941269
"10","lda","none","FFS","DROP","MISSING","HARD","1","year1",0.625600845245728,0.00938967136150235,0.997845756139595,0.878242757053588,"10.7",0.0967958868941269
"11","lda","none","FFS","DROP","MODE","HARD","1","year1",0.625600845245728,0.00938967136150235,0.997845756139595,0.878242757053588,"11.7",0.0967958868941269
"12","lda","none","FFS","DROP","DROP","HARD","1","year1",0.602082660020268,0.00689655172413793,0.99801429706116,0.87328588786669,"12.7",0.0829629870551407
"13","lda","none","FFS","MEDIAN","UNKNOWN","HARD","1","year1",0.617925949117131,0.00317460317460317,0.99845301018435,0.859376732837973,"13.7",0.0563000186129928
"14","lda","none","FFS","MEDIAN","MISSING","HARD","1","year1",0.617925949117131,0.00317460317460317,0.99845301018435,0.859376732837973,"14.7",0.0563000186129928
"15","lda","none","FFS","MEDIAN","MODE","HARD","1","year1",0.606705208403674,0.00317460317460317,0.99845301018435,0.859376732837973,"15.7",0.0563000186129928
"16","lda","none","FFS","MEDIAN","DROP","HARD","1","year1",0.625721406511932,0.0139165009940358,0.997511277025976,0.864425016812374,"16.7",0.117821333714629
"1","lda","none","LASSO","DROP","UNKNOWN","LABEL","1","year1",0.6530119970144,0.0125195618153365,0.998061180525636,0.878810831281954,"1.1.5",0.111782327069526
"2","lda","none","LASSO","DROP","MISSING","LABEL","1","year1",0.65254676125112,0.00938967136150235,0.997845756139595,0.878242757053588,"2.1.5",0.0967958868941269
"3","lda","none","LASSO","DROP","MODE","LABEL","1","year1",0.665252754499134,0.0125195618153365,0.997845756139595,0.878621473205832,"3.1.5",0.111770262709545
"4","lda","none","LASSO","DROP","DROP","LABEL","1","year1",0.640350031497357,0.00551724137931034,0.99801429706116,0.873112306891165,"4.1.5",0.0742043514686919
"5","lda","none","LASSO","MEDIAN","UNKNOWN","LABEL","1","year1",0.655255263550997,0.0142857142857143,0.997163852004641,0.859820339358989,"5.1.5",0.119353248325216
"6","lda","none","LASSO","MEDIAN","MISSING","LABEL","1","year1",0.651444368731981,0.0111111111111111,0.997550599458554,0.859709437728735,"6.1.5",0.105280081447249
"7","lda","none","LASSO","MEDIAN","MODE","LABEL","1","year1",0.656772479951544,0.0142857142857143,0.997292767822612,0.859931240989243,"7.1.5",0.119360963217976
"8","lda","none","LASSO","MEDIAN","DROP","LABEL","1","year1",0.652363776587635,0.0119284294234592,0.99688909628247,0.863618022864828,"8.1.5",0.10904733480476
"9","lda","none","LASSO","DROP","UNKNOWN","HARD","1","year1",0.660733899302753,0.0125195618153365,0.998061180525636,0.878810831281954,"9.1.5",0.111782327069526
"10","lda","none","LASSO","DROP","MISSING","HARD","1","year1",0.655967929748051,0.0109546165884194,0.998276604911676,0.878810831281954,"10.1.5",0.10457407640518
"11","lda","none","LASSO","DROP","MODE","HARD","1","year1",0.655967929748051,0.0109546165884194,0.998276604911676,0.878810831281954,"11.1.5",0.10457407640518
"12","lda","none","LASSO","DROP","DROP","HARD","1","year1",0.640671578428419,0.00689655172413793,0.998610007942812,0.873806630793265,"12.1.5",0.0829877435048055
"13","lda","none","LASSO","MEDIAN","UNKNOWN","HARD","1","year1",0.65787604027903,0.0103174603174603,0.997163852004641,0.859265831207719,"13.1.5",0.101430757036827
"14","lda","none","LASSO","MEDIAN","MISSING","HARD","1","year1",0.656680090281999,0.0103174603174603,0.997163852004641,0.859265831207719,"14.1.5",0.101430757036827
"15","lda","none","LASSO","MEDIAN","MODE","HARD","1","year1",0.65509207249571,0.0126984126984127,0.99703493618667,0.859487634468227,"15.1.5",0.112520047522359
"16","lda","none","LASSO","MEDIAN","DROP","HARD","1","year1",0.65670698162866,0.0119284294234592,0.997200186654223,0.863887020847344,"16.1.5",0.109064348196674
"1","lda","none","RF","DROP","UNKNOWN","LABEL","1","year1",0.648271649139416,0.0125195618153365,0.997630331753555,0.87843211512971,"1.2.5",0.111758197047211
"2","lda","none","RF","DROP","MISSING","LABEL","1","year1",0.631954684688147,0.00469483568075117,0.999138302455838,0.878810831281954,"2.2.5",0.0684893433489826
"3","lda","none","RF","DROP","MODE","LABEL","1","year1",0.644143187431352,0.0125195618153365,0.997414907367514,0.878242757053588,"3.2.5",0.1117461300821
"4","lda","none","RF","DROP","DROP","LABEL","1","year1",0.629565336473939,0.0096551724137931,0.99801429706116,0.87363304981774,"4.2.5",0.0981631300924946
