"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
"1","naive_bayes","none","FFS","DROP","UNKNOWN","LABEL","1","year1",0.619817256740694,0.0391236306729265,0.989444205084016,0.874455595531149,"1.10",0.196750221476811
"2","naive_bayes","none","FFS","DROP","MISSING","LABEL","1","year1",0.616186900713969,0.0375586854460094,0.989013356311935,0.873887521302784,"2.10",0.192733083697693
"3","naive_bayes","none","FFS","DROP","MODE","LABEL","1","year1",0.616186900713969,0.0375586854460094,0.989013356311935,0.873887521302784,"3.10",0.192733083697693
"4","naive_bayes","none","FFS","DROP","DROP","LABEL","1","year1",0.621787954315138,0.0248275862068966,0.990270055599682,0.868772782503038,"4.10",0.156799283077154
"5","naive_bayes","none","FFS","MEDIAN","UNKNOWN","LABEL","1","year1",0.607113339513107,0.0158730158730159,0.993940956555369,0.857269601863147,"5.10",0.125605893891346
"6","naive_bayes","none","FFS","MEDIAN","MISSING","LABEL","1","year1",0.601748190574412,0.0166666666666667,0.992780714193632,0.856382388821116,"6.10",0.128632597876901
"7","naive_bayes","none","FFS","MEDIAN","MODE","LABEL","1","year1",0.601345584428606,0.0166666666666667,0.992780714193632,0.856382388821116,"7.10",0.128632597876901
"8","naive_bayes","none","FFS","MEDIAN","DROP","LABEL","1","year1",0.622943858083417,0.0437375745526839,0.98755638512988,0.859852051109617,"8.10",0.207830029157476
"9","naive_bayes","none","FFS","DROP","UNKNOWN","HARD","1","year1",0.620139719065024,0.0375586854460094,0.989013356311935,0.873887521302784,"9.10",0.192733083697693
"10","naive_bayes","none","FFS","DROP","MISSING","HARD","1","year1",0.620139719065024,0.0375586854460094,0.989013356311935,0.873887521302784,"10.10",0.192733083697693
"11","naive_bayes","none","FFS","DROP","MODE","HARD","1","year1",0.620139719065024,0.0375586854460094,0.989013356311935,0.873887521302784,"11.10",0.192733083697693
"12","naive_bayes","none","FFS","DROP","DROP","HARD","1","year1",0.602712607159487,0.0248275862068966,0.99066719618745,0.869119944454088,"12.10",0.156830721530217
"13","naive_bayes","none","FFS","MEDIAN","UNKNOWN","HARD","1","year1",0.616794354714942,0.0174603174603175,0.993940956555369,0.857491405123655,"13.10",0.131736572895564
"14","naive_bayes","none","FFS","MEDIAN","MISSING","HARD","1","year1",0.616794354714942,0.0174603174603175,0.993940956555369,0.857491405123655,"14.10",0.131736572895564
"15","naive_bayes","none","FFS","MEDIAN","MODE","HARD","1","year1",0.607796388720071,0.0158730158730159,0.993038545829573,0.85649329045137,"15.10",0.125548861406503
"16","naive_bayes","none","FFS","MEDIAN","DROP","HARD","1","year1",0.622943858083417,0.0437375745526839,0.98755638512988,0.859852051109617,"16.10",0.207830029157476
"1","naive_bayes","none","LASSO","DROP","UNKNOWN","LABEL","1","year1",0.632591855407422,0.107981220657277,0.965747522619561,0.861957962507101,"1.1.8",0.322928159718538
"2","naive_bayes","none","LASSO","DROP","MISSING","LABEL","1","year1",0.639407222212108,0.0829420970266041,0.963808703145196,0.857224010604052,"2.1.8",0.28273718356692
"3","naive_bayes","none","LASSO","DROP","MODE","LABEL","1","year1",0.641629902927547,0.0970266040688576,0.960577337354589,0.856087862147321,"3.1.8",0.30528930048238
"4","naive_bayes","none","LASSO","DROP","DROP","LABEL","1","year1",0.6189036180877,0.0593103448275862,0.972001588562351,0.857142857142857,"4.1.8",0.240103622193824
"5","naive_bayes","none","LASSO","MEDIAN","UNKNOWN","LABEL","1","year1",0.632216165225061,0.157936507936508,0.925099909758927,0.81789952312299,"5.1.8",0.382239518155441
"6","naive_bayes","none","LASSO","MEDIAN","MISSING","LABEL","1","year1",0.629101313508945,0.196825396825397,0.884878174552018,0.788732394366197,"6.1.8",0.417332598592937
"7","naive_bayes","none","LASSO","MEDIAN","MODE","LABEL","1","year1",0.62872254655805,0.161111111111111,0.928322805208199,0.821115670400355,"7.1.8",0.386733911904395
"8","naive_bayes","none","LASSO","MEDIAN","DROP","LABEL","1","year1",0.629908679823378,0.0974155069582505,0.954891896095816,0.838870208473436,"8.1.8",0.304993898543068
"9","naive_bayes","none","LASSO","DROP","UNKNOWN","HARD","1","year1",0.637936335519941,0.0829420970266041,0.96531667384748,0.858549517136906,"9.1.8",0.282958281772519
"10","naive_bayes","none","LASSO","DROP","MISSING","HARD","1","year1",0.636830557763739,0.0735524256651017,0.979103834554072,0.869532285551979,"10.1.8",0.268356967506816
"11","naive_bayes","none","LASSO","DROP","MODE","HARD","1","year1",0.636830557763739,0.0735524256651017,0.979103834554072,0.869532285551979,"11.1.8",0.268356967506816
"12","naive_bayes","none","LASSO","DROP","DROP","HARD","1","year1",0.604332119087398,0.161379310344828,0.898729150119142,0.805936469362958,"12.1.8",0.380836303985085
"13","naive_bayes","none","LASSO","MEDIAN","UNKNOWN","HARD","1","year1",0.601186230153614,0.300793650793651,0.80327446177646,0.733059775978707,"13.1.8",0.491548428892867
"14","naive_bayes","none","LASSO","MEDIAN","MISSING","HARD","1","year1",0.60099459576706,0.173015873015873,0.884104679644192,0.784739935677054,"14.1.8",0.39110630650254
"15","naive_bayes","none","LASSO","MEDIAN","MODE","HARD","1","year1",0.599883975763826,0.246031746031746,0.850070903699884,0.765664855273372,"15.1.8",0.457323111911116
"16","naive_bayes","none","LASSO","MEDIAN","DROP","HARD","1","year1",0.602061298409574,0.185884691848907,0.882096749105615,0.787895090786819,"16.1.8",0.40492997220312
"1","naive_bayes","none","RF","DROP","UNKNOWN","LABEL","1","year1",0.613052964731758,0.167449139280125,0.912322274881517,0.822192766521492,"1.2.8",0.390854934310667
"2","naive_bayes","none","RF","DROP","MISSING","LABEL","1","year1",0.600347982865839,0.145539906103286,0.914907367514003,0.821814050369248,"2.2.8",0.364904826442722
"3","naive_bayes","none","RF","DROP","MODE","LABEL","1","year1",0.610073095955213,0.161189358372457,0.911891426109436,0.82105661806476,"3.2.8",0.38338908941169
"4","naive_bayes","none","RF","DROP","DROP","LABEL","1","year1",0.603348032099915,0.102068965517241,0.940826052422558,0.835271654226697,"4.2.8",0.309885691671042
"5","naive_bayes","none","RF","MEDIAN","UNKNOWN","LABEL","1","year1",0.624574117387061,0.152380952380952,0.92406858321516,0.81623599866918,"5.2.8",0.375247186232813
"6","naive_bayes","none","RF","MEDIAN","MISSING","LABEL","1","year1",0.607808308317526,0.265873015873016,0.830991362640196,0.752023954752135,"6.2.8",0.470040614999997
"7","naive_bayes","none","RF","MEDIAN","MODE","LABEL","1","year1",0.621175957813833,0.101587301587302,0.945339693180353,0.827437063324831,"7.2.8",0.30989435056735
"8","naive_bayes","none","RF","MEDIAN","DROP","LABEL","1","year1",0.608263624042028,0.0964214711729622,0.945870275314979,0.83093476798924,"8.2.8",0.301997025622182
"9","naive_bayes","none","RF","DROP","UNKNOWN","HARD","1","year1",0.60335279906737,0.2018779342723,0.872468763464024,0.791327400113615,"9.2.8",0.419681059478773
"10","naive_bayes","none","RF","DROP","MISSING","HARD","1","year1",0.592992200895546,0.200312989045383,0.876777251184834,0.794925203559932,"10.2.8",0.419082177993564
"11","naive_bayes","none","RF","DROP","MODE","HARD","1","year1",0.598888558504072,0.18622848200313,0.884101680310211,0.79965915546298,"11.2.8",0.405764604001615
"12","naive_bayes","none","RF","DROP","DROP","HARD","1","year1",0.608869107940073,0.122758620689655,0.928316123907863,0.826939767401493,"12.2.8",0.337577853146347
"13","naive_bayes","none","RF","MEDIAN","UNKNOWN","HARD","1","year1",0.600424808314456,0.270634920634921,0.828799793734691,0.750804036819341,"13.2.8",0.473605496589331
"14","naive_bayes","none","RF","MEDIAN","MISSING","HARD","1","year1",0.595594148449634,0.253174603174603,0.835116668815264,0.753798380836198,"14.2.8",0.459815540441818
"15","naive_bayes","none","RF","MEDIAN","MODE","HARD","1","year1",0.60436830226053,0.153968253968254,0.918654118860384,0.811799933459022,"15.2.8",0.376089843895948
"16","naive_bayes","none","RF","MEDIAN","DROP","HARD","1","year1",0.61624667920305,0.124254473161034,0.928760304868564,0.81990585070612,"16.2.8",0.339709614780513
"1","naive_bayes","down","FFS","DROP","UNKNOWN","LABEL","1","year1",0.610085401104025,0.419405320813772,0.735028005170185,0.696837720128763,"1.3.4",0.555224870044118
"2","naive_bayes","down","FFS","DROP","MISSING","LABEL","1","year1",0.610096020616012,0.153364632237872,0.92675570874623,0.833175534936565,"2.3.4",0.377003379886989
"3","naive_bayes","down","FFS","DROP","MODE","LABEL","1","year1",0.610096020616012,0.153364632237872,0.92675570874623,0.833175534936565,"3.3.4",0.377003379886989
"4","naive_bayes","down","FFS","DROP","DROP","LABEL","1","year1",0.617663717783682,0.230344827586207,0.880659253375695,0.798819649366429,"4.3.4",0.450394609071892
"5","naive_bayes","down","FFS","MEDIAN","UNKNOWN","LABEL","1","year1",0.614047475807822,0.520634920634921,0.64973572257316,0.631695685926583,"5.3.4",0.58161422468467
"6","naive_bayes","down","FFS","MEDIAN","MISSING","LABEL","1","year1",0.61018532160404,0.551587301587302,0.601134459198144,0.594210934900743,"6.3.4",0.575828215911869
"7","naive_bayes","down","FFS","MEDIAN","MODE","LABEL","1","year1",0.610601740158914,0.561904761904762,0.594173005027717,0.589663968060331,"7.3.4",0.577813673185687
"8","naive_bayes","down","FFS","MEDIAN","DROP","LABEL","1","year1",0.611988436467831,0.493041749502982,0.676154923005133,0.65137861466039,"8.3.4",0.577384279465163
"9","naive_bayes","down","FFS","DROP","UNKNOWN","HARD","1","year1",0.610101751781213,0.458528951486698,0.706161137440758,0.676197689831471,"9.3.4",0.569030162584871
"10","naive_bayes","down","FFS","DROP","MISSING","HARD","1","year1",0.610101751781213,0.458528951486698,0.706161137440758,0.676197689831471,"10.3.4",0.569030162584871
"11","naive_bayes","down","FFS","DROP","MODE","HARD","1","year1",0.610101751781213,0.458528951486698,0.706161137440758,0.676197689831471,"11.3.4",0.569030162584871
"12","naive_bayes","down","FFS","DROP","DROP","HARD","1","year1",0.591578154528772,0.442758620689655,0.697577442414615,0.665509460163166,"12.3.4",0.55575032724031
"13","naive_bayes","down","FFS","MEDIAN","UNKNOWN","HARD","1","year1",0.612456337440223,0.637301587301587,0.528941601134459,0.544083398025951,"13.3.4",0.580599106090281
"14","naive_bayes","down","FFS","MEDIAN","MISSING","HARD","1","year1",0.612456337440223,0.637301587301587,0.528941601134459,0.544083398025951,"14.3.4",0.580599106090281
"15","naive_bayes","down","FFS","MEDIAN","MODE","HARD","1","year1",0.61155254547352,0.719047619047619,0.414593270594302,0.457136519906843,"15.3.4",0.545996615460204
"16","naive_bayes","down","FFS","MEDIAN","DROP","HARD","1","year1",0.611988436467831,0.493041749502982,0.676154923005133,0.65137861466039,"16.3.4",0.577384279465163
"1","naive_bayes","down","LASSO","DROP","UNKNOWN","LABEL","1","year1",0.629981815349948,0.363067292644757,0.802886686772943,0.749668623366787,"1.1.1.4",0.539909155013296
"2","naive_bayes","down","LASSO","DROP","MISSING","LABEL","1","year1",0.631466524264068,0.29264475743349,0.838862559241706,0.772770308653664,"2.1.1.4",0.495468192893677
"3","naive_bayes","down","LASSO","DROP","MODE","LABEL","1","year1",0.631708244584554,0.342723004694836,0.81451960361913,0.757432304487786,"3.1.1.4",0.528350836031509
"4","naive_bayes","down","LASSO","DROP","DROP","LABEL","1","year1",0.613243953876914,0.340689655172414,0.793884034948372,0.736851241103975,"4.1.1.4",0.520065455604816
"5","naive_bayes","down","LASSO","MEDIAN","UNKNOWN","LABEL","1","year1",0.607643889492542,0.593650793650794,0.556013922908341,0.561273150715315,"5.1.1.4",0.574524243714247
"6","naive_bayes","down","LASSO","MEDIAN","MISSING","LABEL","1","year1",0.619761771753521,0.396825396825397,0.758282841304628,0.707774204280803,"6.1.1.4",0.548548894271603
"7","naive_bayes","down","LASSO","MEDIAN","MODE","LABEL","1","year1",0.635836448798934,0.762698412698413,0.412917364960681,0.461794388377509,"7.1.1.4",0.561187507729032
