"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
"1","nnet","none","FFS","DROP","UNKNOWN","LABEL","1","year1",0.626705948747201,0,1,0.879000189358076,"1.9",0
"2","nnet","none","FFS","DROP","MISSING","LABEL","1","year1",0.619242960274933,0.00312989045383412,0.999138302455838,0.878621473205832,"2.9",0.0559213146744294
"3","nnet","none","FFS","DROP","MODE","LABEL","1","year1",0.619242960274933,0.00312989045383412,0.999138302455838,0.878621473205832,"3.9",0.0559213146744294
"4","nnet","none","FFS","DROP","DROP","LABEL","1","year1",0.62116855194325,0,1,0.874153792744315,"4.9",0
"5","nnet","none","FFS","MEDIAN","UNKNOWN","LABEL","1","year1",0.444894115095224,0,1,0.860263945880004,"5.9",0
"6","nnet","none","FFS","MEDIAN","MISSING","LABEL","1","year1",0.602044594641603,0,0.999742168364058,0.860042142619497,"6.9",0
"7","nnet","none","FFS","MEDIAN","MODE","LABEL","1","year1",0.501558500156541,0,1,0.860263945880004,"7.9",0
"8","nnet","none","FFS","MEDIAN","DROP","LABEL","1","year1",0.499844454814124,0,1,0.864694014794889,"8.9",0
"9","nnet","none","FFS","DROP","UNKNOWN","HARD","1","year1",0.626923733024795,0.00156494522691706,1,0.879189547434198,"9.9",0.0395593886064618
"10","nnet","none","FFS","DROP","MISSING","HARD","1","year1",0.626923733024795,0.00156494522691706,1,0.879189547434198,"10.9",0.0395593886064618
"11","nnet","none","FFS","DROP","MODE","HARD","1","year1",0.626923733024795,0.00156494522691706,1,0.879189547434198,"11.9",0.0395593886064618
"12","nnet","none","FFS","DROP","DROP","HARD","1","year1",0.598510175015749,0,1,0.874153792744315,"12.9",0
"13","nnet","none","FFS","MEDIAN","UNKNOWN","HARD","1","year1",0.621214427930942,0,1,0.860263945880004,"13.9",0
"14","nnet","none","FFS","MEDIAN","MISSING","HARD","1","year1",0.621214427930942,0,1,0.860263945880004,"14.9",0
"15","nnet","none","FFS","MEDIAN","MODE","HARD","1","year1",0.605142871466837,0,1,0.860263945880004,"15.9",0
"16","nnet","none","FFS","MEDIAN","DROP","HARD","1","year1",0.499844454814124,0,1,0.864694014794889,"16.9",0
"1","nnet","down","FFS","DROP","UNKNOWN","LABEL","1","year1",0.625348505413255,0.572769953051643,0.601895734597156,0.598371520545351,"1.3.3",0.587152272964346
"2","nnet","down","FFS","DROP","MISSING","LABEL","1","year1",0.61384217989251,0.572769953051643,0.620206807410599,0.614466957015717,"2.3.3",0.596016630609313
"3","nnet","down","FFS","DROP","MODE","LABEL","1","year1",0.61384217989251,0.572769953051643,0.620206807410599,0.614466957015717,"3.3.3",0.596016630609313
"4","nnet","down","FFS","DROP","DROP","LABEL","1","year1",0.621643340363178,0.595862068965517,0.595512311358221,0.595556327026558,"4.3.3",0.595687164491855
"5","nnet","down","FFS","MEDIAN","UNKNOWN","LABEL","1","year1",0.610108688312246,0.525396825396825,0.643934510764471,0.627370522346678,"5.3.3",0.581653804009834
"6","nnet","down","FFS","MEDIAN","MISSING","LABEL","1","year1",0.602394099748102,0.49047619047619,0.659146577285033,0.635577242985472,"6.3.3",0.568590979696462
"7","nnet","down","FFS","MEDIAN","MODE","LABEL","1","year1",0.6002740995844,0.478571428571429,0.660693567100683,0.63524453809471,"7.3.3",0.562306912864609
"8","nnet","down","FFS","MEDIAN","DROP","LABEL","1","year1",0.499234179616654,0.010934393638171,0.986312023642868,0.854337592468057,"8.3.3",0.103849525355546
"9","nnet","down","FFS","DROP","UNKNOWN","HARD","1","year1",0.621204030155369,0.550860719874804,0.622576475657044,0.613898882787351,"9.3.3",0.585621828108856
"10","nnet","down","FFS","DROP","MISSING","HARD","1","year1",0.621204030155369,0.550860719874804,0.622576475657044,0.613898882787351,"10.3.3",0.585621828108856
"11","nnet","down","FFS","DROP","MODE","HARD","1","year1",0.621204030155369,0.550860719874804,0.622576475657044,0.613898882787351,"11.3.3",0.585621828108856
"12","nnet","down","FFS","DROP","DROP","HARD","1","year1",0.592813946481881,0.48,0.669976171564734,0.646068390904357,"12.3.3",0.567087790691241
"13","nnet","down","FFS","MEDIAN","UNKNOWN","HARD","1","year1",0.619969725245605,0.563492063492063,0.618151347170298,0.610513474548076,"13.3.3",0.590189273172082
"14","nnet","down","FFS","MEDIAN","MISSING","HARD","1","year1",0.619969725245605,0.563492063492063,0.618151347170298,0.610513474548076,"14.3.3",0.590189273172082
"15","nnet","down","FFS","MEDIAN","MODE","HARD","1","year1",0.603527228862411,0.596825396825397,0.546087404924584,0.553177331706776,"15.3.3",0.570893012871472
"16","nnet","down","FFS","MEDIAN","DROP","HARD","1","year1",0.499234179616654,0.010934393638171,0.986312023642868,0.854337592468057,"16.3.3",0.103849525355546
"1","nnet","up","FFS","DROP","UNKNOWN","LABEL","1","year1",0.624168222509455,0.54773082942097,0.639379577768203,0.628290096572619,"1.4.3",0.591783665240777
"2","nnet","up","FFS","DROP","MISSING","LABEL","1","year1",0.618715355949186,0.525821596244131,0.65941404566997,0.643249384586253,"2.4.3",0.588841359009355
"3","nnet","up","FFS","DROP","MODE","LABEL","1","year1",0.618715355949186,0.525821596244131,0.65941404566997,0.643249384586253,"3.4.3",0.588841359009355
"4","nnet","up","FFS","DROP","DROP","LABEL","1","year1",0.622396538029636,0.598620689655172,0.583002382843527,0.584967887519528,"4.4.3",0.590759924578843
"5","nnet","up","FFS","MEDIAN","UNKNOWN","LABEL","1","year1",0.606781330124762,0.538888888888889,0.617764599716385,0.606742819119441,"5.4.3",0.576980483843303
"6","nnet","up","FFS","MEDIAN","MISSING","LABEL","1","year1",0.599043720878837,0.51031746031746,0.639164625499549,0.621160031052456,"6.4.3",0.571118961696852
"7","nnet","up","FFS","MEDIAN","MODE","LABEL","1","year1",0.60088547773542,0.49047619047619,0.65270078638649,0.630032161472774,"7.4.3",0.565804025460812
"8","nnet","up","FFS","MEDIAN","DROP","LABEL","1","year1",0.625799024487388,0.517892644135189,0.664644579250272,0.644788164088769,"8.4.3",0.586697996040589
"9","nnet","up","FFS","DROP","UNKNOWN","HARD","1","year1",0.625047619240264,0.549295774647887,0.6292546316243,0.619579625071009,"9.4.3",0.58791743495906
"10","nnet","up","FFS","DROP","MISSING","HARD","1","year1",0.625047619240264,0.549295774647887,0.6292546316243,0.619579625071009,"10.4.3",0.58791743495906
"11","nnet","up","FFS","DROP","MODE","HARD","1","year1",0.625047619240264,0.549295774647887,0.6292546316243,0.619579625071009,"11.4.3",0.58791743495906
"12","nnet","up","FFS","DROP","DROP","HARD","1","year1",0.597565117361891,0.502068965517241,0.654686258935663,0.635479951397327,"12.4.3",0.573321596280989
"13","nnet","up","FFS","MEDIAN","UNKNOWN","HARD","1","year1",0.615883758857846,0.547619047619048,0.626788706974346,0.615725851170012,"13.4.3",0.585868103562283
"14","nnet","up","FFS","MEDIAN","MISSING","HARD","1","year1",0.615883758857846,0.547619047619048,0.626788706974346,0.615725851170012,"14.4.3",0.585868103562283
"15","nnet","up","FFS","MEDIAN","MODE","HARD","1","year1",0.606884309307927,0.515873015873016,0.635168235142452,0.618498391926361,"15.4.3",0.572421307298809
"16","nnet","up","FFS","MEDIAN","DROP","HARD","1","year1",0.625799024487388,0.517892644135189,0.664644579250272,0.644788164088769,"16.4.3",0.586697996040589
"1","nnet","rose","FFS","DROP","UNKNOWN","LABEL","1","year1",0.386383189750789,0.298904538341158,0.832184403274451,0.767657640598371,"1.5.3",0.498742112594737
"2","nnet","rose","FFS","DROP","MISSING","LABEL","1","year1",0.393247945714403,0.298904538341158,0.81882809133994,0.755917439878811,"2.5.3",0.494723592142861
"3","nnet","rose","FFS","DROP","MODE","LABEL","1","year1",0.393247945714403,0.298904538341158,0.81882809133994,0.755917439878811,"3.5.3",0.494723592142861
"4","nnet","rose","FFS","DROP","DROP","LABEL","1","year1",0.378411711538988,0.471724137931034,0.69340746624305,0.665509460163166,"4.5.3",0.571923980305465
"5","nnet","rose","FFS","MEDIAN","UNKNOWN","LABEL","1","year1",0.392685203942778,0.472222222222222,0.691375531777749,0.660751913053122,"5.5.3",0.571386812943875
"6","nnet","rose","FFS","MEDIAN","MISSING","LABEL","1","year1",0.401861503485843,0.455555555555556,0.688668299600361,0.656094044582455,"6.5.3",0.560113086633353
