,accuracy-fold1,accuracy-fold2,accuracy-fold3,accuracy-fold4,accuracy-fold5
month1,0.6612924,0.6645694,0.655742,0.6675406,0.6650937
year1,0.6271139,0.6279972,0.6340449,0.6208761,0.6332132
year2,0.614562,0.6276004,0.6070905,0.6111925,0.6088485
year3,0.6085816,0.6014817,0.6000309,0.6118228,0.5970057
year4,0.6135957,0.6055285,0.5939177,0.5966824,0.601236
year5,0.6052272,0.5999317,0.5982234,0.5949778,0.5990776
year6,0.5994609,0.6077269,0.6034514,0.5937107,0.5938904
year7,0.6044101,0.6026003,0.6029772,0.6058779,0.6006029
year8,0.6237174,0.6187377,0.6003156,0.6199211,0.6231998
year9,0.6252319,0.6239951,0.6342268,0.6369072,0.6299732
year10,0.6229895,0.6167703,0.6293436,0.6302809,0.6347845
