"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
1,"glm","none","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.619174017728854,0.00469483568075117,0.999138302455838,0.878810831281954,"1",0.0684893433489826
4,"glm","none","FFS","DROP","DROP","LABEL",1,"year1",0.620157212894744,0.00275862068965517,0.998808578236696,0.873459468842215,"4",0.0524912755505981
5,"glm","none","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.607520447481128,0.00158730158730159,0.999226505092175,0.859820339358989,"5",0.0398255422763661
8,"glm","none","FFS","MEDIAN","DROP","LABEL",1,"year1",0.620602176333815,0.00497017892644135,0.998289002955358,0.863887020847344,"8",0.0704391578952139
9,"glm","none","FFS","DROP","UNKNOWN","HARD",1,"year1",0.621796700062504,0.00469483568075117,0.998922878069798,0.878621473205832,"9",0.0684819594512361
12,"glm","none","FFS","DROP","DROP","HARD",1,"year1",0.599456602119909,0.00413793103448276,0.99900714853058,0.873806630793265,"12",0.064294810704868
13,"glm","none","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.616551154001199,0.00238095238095238,0.999226505092175,0.859931240989243,"13",0.0487761286533683
16,"glm","none","FFS","MEDIAN","DROP","HARD",1,"year1",0.620602176333815,0.00497017892644135,0.998289002955358,0.863887020847344,"16",0.0704391578952139
1,"glm","none","LASSO","DROP","UNKNOWN","LABEL",1,"year1",0.650067863738514,0.00469483568075117,0.998922878069798,0.878621473205832,"1.1",0.0684819594512361
4,"glm","none","LASSO","DROP","DROP","LABEL",1,"year1",0.639401550217743,0.00275862068965517,0.99900714853058,0.87363304981774,"4.1",0.0524964931119201
5,"glm","none","LASSO","MEDIAN","UNKNOWN","LABEL",1,"year1",0.652373176506217,0.00714285714285714,0.998324094366379,0.859820339358989,"5.1",0.0844445758372394
8,"glm","none","LASSO","MEDIAN","DROP","LABEL",1,"year1",0.651948937886138,0.00695825049701789,0.997977912583606,0.863887020847344,"8.1",0.0833317484890828
9,"glm","none","LASSO","DROP","UNKNOWN","HARD",1,"year1",0.657496802346945,0.00469483568075117,0.998707453683757,0.87843211512971,"9.1",0.0684745747572532
12,"glm","none","LASSO","DROP","DROP","HARD",1,"year1",0.643416504615047,0.00275862068965517,0.999205718824464,0.873806630793265,"12.1",0.0525017101547267
13,"glm","none","LASSO","MEDIAN","UNKNOWN","HARD",1,"year1",0.66266536523079,0.0111111111111111,0.998195178548408,0.860263945880004,"13.1",0.105314089937799
16,"glm","none","LASSO","MEDIAN","DROP","HARD",1,"year1",0.658823849560901,0.00596421471172962,0.997666822211853,0.863483523873571,"16.1",0.0771381821048466
1,"glm","none","RF","DROP","UNKNOWN","LABEL",1,"year1",0.64722385728994,0.0109546165884194,0.998707453683757,0.879189547434198,"1.2",0.104596640668342
4,"glm","none","RF","DROP","DROP","LABEL",1,"year1",0.631957766152666,0.00551724137931034,0.99900714853058,0.87398021176879,"4.2",0.0742412525359032
5,"glm","none","RF","MEDIAN","UNKNOWN","LABEL",1,"year1",0.64574148081303,0.00476190476190476,0.999355420910146,0.860374847510258,"5.2",0.0689843122576964
8,"glm","none","RF","MEDIAN","DROP","LABEL",1,"year1",0.63881882140042,0.00497017892644135,0.999066728884741,0.864559515803631,"8.2",0.0704665906796379
9,"glm","none","RF","DROP","UNKNOWN","HARD",1,"year1",0.651822948799119,0.00625978090766823,0.998707453683757,0.878621473205832,"9.2",0.0790676283374905
12,"glm","none","RF","DROP","DROP","HARD",1,"year1",0.635115718550573,0.00275862068965517,0.99900714853058,0.87363304981774,"12.2",0.0524964931119201
13,"glm","none","RF","MEDIAN","UNKNOWN","HARD",1,"year1",0.638649064541807,0.00476190476190476,0.999097589274204,0.86015304424975,"13.2",0.0689754127785576
16,"glm","none","RF","MEDIAN","DROP","HARD",1,"year1",0.648422576997186,0.00795228628230616,0.997666822211853,0.863752521856086,"16.2",0.0890715004060631
1,"glm","down","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.627323060388276,0.543035993740219,0.635501938819474,0.624313576974058,"1.3",0.587452489032661
4,"glm","down","FFS","DROP","DROP","LABEL",1,"year1",0.621540631590479,0.566896551724138,0.605440826052423,0.600590175316785,"4.3",0.585851787197182
5,"glm","down","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.612133587481661,0.543650793650794,0.626917622792317,0.615282244648996,"5.3",0.58380156147848
