"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
1,"glmnet","none","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.61975354,0.004694836,0.999353727,0.879000189,"1.8",0.068496726
4,"glmnet","none","FFS","DROP","DROP","LABEL",1,"year1",0.62055271,0.00137931,0.999404289,0.873806631,"4.8",0.037128004
5,"glmnet","none","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.607112726,0.000793651,0.999484337,0.859931241,"5.8",0.028164544
8,"glmnet","none","FFS","MEDIAN","DROP","LABEL",1,"year1",0.62180139,0.003976143,0.998600093,0.86402152,"8.8",0.063012514
9,"glmnet","none","FFS","DROP","UNKNOWN","HARD",1,"year1",0.622382627,0.004694836,0.999353727,0.879000189,"9.8",0.068496726
12,"glmnet","none","FFS","DROP","DROP","HARD",1,"year1",0.600901098,0.00137931,0.999404289,0.873806631,"12.8",0.037128004
13,"glmnet","none","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.615639535,0.000793651,0.999484337,0.859931241,"13.8",0.028164544
16,"glmnet","none","FFS","MEDIAN","DROP","HARD",1,"year1",0.62180139,0.003976143,0.998600093,0.86402152,"16.8",0.063012514
1,"glmnet","down","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.624396458,0.516431925,0.651012495,0.634728271,"1.3.2",0.579830696
4,"glmnet","down","FFS","DROP","DROP","LABEL",1,"year1",0.621717838,0.582068966,0.600675139,0.598333623,"4.3.2",0.591298873
5,"glmnet","down","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.609616455,0.546031746,0.618151347,0.608073639,"5.3.2",0.580973544
8,"glmnet","down","FFS","MEDIAN","DROP","LABEL",1,"year1",0.624660112,0.539761431,0.636801991,0.623671822,"8.3.2",0.58627737
9,"glmnet","down","FFS","DROP","UNKNOWN","HARD",1,"year1",0.625695578,0.530516432,0.628392934,0.616549896,"9.3.2",0.577384428
12,"glmnet","down","FFS","DROP","DROP","HARD",1,"year1",0.601618142,0.51862069,0.617156473,0.604756119,"12.3.2",0.565747396
13,"glmnet","down","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.618503103,0.59047619,0.587082635,0.587556837,"13.3.2",0.588776968
16,"glmnet","down","FFS","MEDIAN","DROP","HARD",1,"year1",0.624660112,0.539761431,0.636801991,0.623671822,"16.3.2",0.58627737
1,"glmnet","up","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.623024686,0.522691706,0.636148212,0.622419996,"1.4.2",0.576636275
4,"glmnet","up","FFS","DROP","DROP","LABEL",1,"year1",0.621837528,0.583448276,0.604050834,0.60145808,"4.4.2",0.593660187
5,"glmnet","up","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.609958491,0.546031746,0.621116411,0.610624376,"5.4.2",0.582365245
8,"glmnet","up","FFS","MEDIAN","DROP","LABEL",1,"year1",0.623754208,0.539761431,0.637268627,0.624075319,"8.4.2",0.586492136
9,"glmnet","up","FFS","DROP","UNKNOWN","HARD",1,"year1",0.625705355,0.546165884,0.62473072,0.615224389,"9.4.2",0.584128929
12,"glmnet","up","FFS","DROP","DROP","HARD",1,"year1",0.602176057,0.51862069,0.622120731,0.609095643,"12.4.2",0.568018206
13,"glmnet","up","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.618711517,0.585714286,0.589145288,0.588665853,"13.4.2",0.587427282
16,"glmnet","up","FFS","MEDIAN","DROP","HARD",1,"year1",0.623754208,0.539761431,0.637268627,0.624075319,"16.4.2",0.586492136
1,"glmnet","rose","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.377051841,0.549295775,0.606419647,0.599507669,"1.5.2",0.57715141
4,"glmnet","rose","FFS","DROP","DROP","LABEL",1,"year1",0.378161102,0.616551724,0.570691025,0.57646242,"4.5.2",0.593178333
5,"glmnet","rose","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.390011019,0.556349206,0.607193503,0.600088721,"5.5.2",0.581215643
8,"glmnet","rose","FFS","MEDIAN","DROP","LABEL",1,"year1",0.376760049,0.555666004,0.624202831,0.614929388,"8.5.2",0.588938276
9,"glmnet","rose","FFS","DROP","UNKNOWN","HARD",1,"year1",0.373345969,0.569640063,0.600603188,0.596856656,"9.5.2",0.584916778
12,"glmnet","rose","FFS","DROP","DROP","HARD",1,"year1",0.397492536,0.547586207,0.590349484,0.584967888,"12.5.2",0.568565946
13,"glmnet","rose","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.381268532,0.598412698,0.575738043,0.57890651,"13.5.2",0.58696589
16,"glmnet","rose","FFS","MEDIAN","DROP","HARD",1,"year1",0.376760049,0.555666004,0.624202831,0.614929388,"16.5.2",0.588938276
1,"glmnet","smote","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.621448279,0.23943662,0.879793193,0.802310169,"1.6.2",0.458971359
4,"glmnet","smote","FFS","DROP","DROP","LABEL",1,"year1",0.62089069,0.205517241,0.886020651,0.800381878,"4.6.2",0.426723002
5,"glmnet","smote","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.611421788,0.193650794,0.895320356,0.79727182,"5.6.2",0.416388638
8,"glmnet","smote","FFS","MEDIAN","DROP","LABEL",1,"year1",0.62148798,0.166003976,0.930626847,0.827168796,"8.6.2",0.393049306
9,"glmnet","smote","FFS","DROP","UNKNOWN","HARD",1,"year1",0.623864302,0.230046948,0.888841017,0.809127059,"9.6.2",0.452189301
12,"glmnet","smote","FFS","DROP","DROP","HARD",1,"year1",0.602082934,0.095172414,0.954725973,0.846554418,"12.6.2",0.301435856
13,"glmnet","smote","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.619780495,0.234126984,0.878045636,0.788066985,"13.6.2",0.453402886
16,"glmnet","smote","FFS","MEDIAN","DROP","HARD",1,"year1",0.62148798,0.166003976,0.930626847,0.827168796,"16.6.2",0.393049306
1,"glmnet","none","FFS","DROP","UNKNOWN","LABEL",2,"year1",0.588488496,0,0.998963516,0.885845588,"1.8.1",0
4,"glmnet","none","FFS","DROP","DROP","LABEL",2,"year1",0.5796408,0,1,0.881516588,"4.8.1",0
5,"glmnet","none","FFS","MEDIAN","UNKNOWN","LABEL",2,"year1",0.579289037,0,0.99961568,0.865365421,"5.8.1",0
8,"glmnet","none","FFS","MEDIAN","DROP","LABEL",2,"year1",0.589985713,0.004162331,0.998326742,0.871532847,"8.8.1",0.06446213
9,"glmnet","none","FFS","DROP","UNKNOWN","HARD",2,"year1",0.581106575,0.001623377,0.998756219,0.885845588,"9.8.1",0.040266084
12,"glmnet","none","FFS","DROP","DROP","HARD",2,"year1",0.563462256,0,0.999615975,0.881178064,"12.8.1",0
13,"glmnet","none","FFS","MEDIAN","UNKNOWN","HARD",2,"year1",0.591321324,0,0.99961568,0.865365421,"13.8.1",0
16,"glmnet","none","FFS","MEDIAN","DROP","HARD",2,"year1",0.589985713,0.004162331,0.998326742,0.871532847,"16.8.1",0.06446213
1,"glmnet","down","FFS","DROP","UNKNOWN","LABEL",2,"year1",0.597441297,0.527597403,0.631011609,0.619301471,"1.3.2.1",0.576992275
4,"glmnet","down","FFS","DROP","DROP","LABEL",2,"year1",0.580638441,0.534285714,0.581605223,0.575998646,"4.3.2.1",0.557443595
5,"glmnet","down","FFS","MEDIAN","UNKNOWN","LABEL",2,"year1",0.584416686,0.526011561,0.590187036,0.581568149,"5.3.2.1",0.557176098
8,"glmnet","down","FFS","MEDIAN","DROP","LABEL",2,"year1",0.592014485,0.516129032,0.618192881,0.605175846,"8.3.2.1",0.564860419
9,"glmnet","down","FFS","DROP","UNKNOWN","HARD",2,"year1",0.592045522,0.503246753,0.625829187,0.611948529,"9.3.2.1",0.56120095
12,"glmnet","down","FFS","DROP","DROP","HARD",2,"year1",0.565235352,0.5,0.586981567,0.576675694,"12.3.2.1",0.541747897
13,"glmnet","down","FFS","MEDIAN","UNKNOWN","HARD",2,"year1",0.596265222,0.542526837,0.596464258,0.589220362,"13.3.2.1",0.568856632
16,"glmnet","down","FFS","MEDIAN","DROP","HARD",2,"year1",0.592014485,0.516129032,0.618192881,0.605175846,"16.3.2.1",0.564860419
1,"glmnet","up","FFS","DROP","UNKNOWN","LABEL",2,"year1",0.593653419,0.535714286,0.614427861,0.605514706,"1.4.2.1",0.57372274
4,"glmnet","up","FFS","DROP","DROP","LABEL",2,"year1",0.585317232,0.524285714,0.592357911,0.584292485,"4.4.2.1",0.557283402
5,"glmnet","up","FFS","MEDIAN","UNKNOWN","LABEL",2,"year1",0.58487844,0.517753922,0.599923136,0.588887657,"5.4.2.1",0.557326257
8,"glmnet","up","FFS","MEDIAN","DROP","LABEL",2,"year1",0.595686125,0.51925078,0.621691512,0.60862641,"8.4.2.1",0.568167055
9,"glmnet","up","FFS","DROP","UNKNOWN","HARD",2,"year1",0.586792768,0.506493506,0.622719735,0.609558824,"9.4.2.1",0.561607961
12,"glmnet","up","FFS","DROP","DROP","HARD",2,"year1",0.571149879,0.51,0.5906298,0.581076506,"12.4.2.1",0.548836222
13,"glmnet","up","FFS","MEDIAN","UNKNOWN","HARD",2,"year1",0.596383914,0.531791908,0.603638227,0.593989132,"13.4.2.1",0.566577377
16,"glmnet","up","FFS","MEDIAN","DROP","HARD",2,"year1",0.595686125,0.51925078,0.621691512,0.60862641,"16.4.2.1",0.568167055
1,"glmnet","rose","FFS","DROP","UNKNOWN","LABEL",2,"year1",0.407678195,0.524350649,0.623341625,0.612132353,"1.5.2.1",0.571707605
4,"glmnet","rose","FFS","DROP","DROP","LABEL",2,"year1",0.415124122,0.52,0.601766513,0.592078538,"4.5.2.1",0.559391264
5,"glmnet","rose","FFS","MEDIAN","UNKNOWN","LABEL",2,"year1",0.415177943,0.524360033,0.591596208,0.582566264,"5.5.2.1",0.556964458
8,"glmnet","rose","FFS","MEDIAN","DROP","LABEL",2,"year1",0.40441233,0.524453694,0.61606328,0.604379562,"8.5.2.1",0.568415924
9,"glmnet","rose","FFS","DROP","UNKNOWN","HARD",2,"year1",0.416477542,0.512987013,0.619402985,0.607352941,"9.5.2.1",0.563689353
12,"glmnet","rose","FFS","DROP","DROP","HARD",2,"year1",0.428879471,0.478571429,0.609831029,0.594278944,"12.5.2.1",0.540229309
13,"glmnet","rose","FFS","MEDIAN","UNKNOWN","HARD",2,"year1",0.404096142,0.533443435,0.599666923,0.590772984,"13.5.2.1",0.56558676
16,"glmnet","rose","FFS","MEDIAN","DROP","HARD",2,"year1",0.40441233,0.524453694,0.61606328,0.604379562,"16.5.2.1",0.568415924
1,"glmnet","smote","FFS","DROP","UNKNOWN","LABEL",2,"year1",0.594560342,0.262987013,0.843076285,0.777389706,"1.6.2.1",0.47086953
4,"glmnet","smote","FFS","DROP","DROP","LABEL",2,"year1",0.588760835,0.24,0.855990783,0.783006093,"4.6.2.1",0.453252455
5,"glmnet","smote","FFS","MEDIAN","UNKNOWN","LABEL",2,"year1",0.586275871,0.216350124,0.871124776,0.783187313,"5.6.2.1",0.434128959
8,"glmnet","smote","FFS","MEDIAN","DROP","LABEL",2,"year1",0.595203822,0.214360042,0.89017341,0.80398142,"8.6.2.1",0.43682675
9,"glmnet","smote","FFS","DROP","UNKNOWN","HARD",2,"year1",0.588410087,0.23538961,0.858208955,0.787683824,"9.6.2.1",0.449459088
12,"glmnet","smote","FFS","DROP","DROP","HARD",2,"year1",0.574250329,0.19,0.891513057,0.808395396,"12.6.2.1",0.411567104
13,"glmnet","smote","FFS","MEDIAN","UNKNOWN","HARD",2,"year1",0.597582097,0.262592898,0.846784525,0.768326494,"13.6.2.1",0.471550212
16,"glmnet","smote","FFS","MEDIAN","DROP","HARD",2,"year1",0.595203822,0.214360042,0.89017341,0.80398142,"16.6.2.1",0.43682675
1,"glmnet","none","FFS","DROP","UNKNOWN","LABEL",3,"year1",0.610927254,0.003139717,0.997425997,0.877901491,"1.8.2",0.05596102
4,"glmnet","none","FFS","DROP","DROP","LABEL",3,"year1",0.602743646,0.001371742,0.999803382,0.874634566,"4.8.2",0.037033396
5,"glmnet","none","FFS","MEDIAN","UNKNOWN","LABEL",3,"year1",0.592287204,0.000805153,0.999742765,0.862149274,"5.8.2",0.028371568
8,"glmnet","none","FFS","MEDIAN","DROP","LABEL",3,"year1",0.609033626,0.00605449,0.997993518,0.866398929,"8.8.2",0.077732504
9,"glmnet","none","FFS","DROP","UNKNOWN","HARD",3,"year1",0.610631937,0.003139717,0.997854998,0.878278921,"9.8.2",0.055973054
12,"glmnet","none","FFS","DROP","DROP","HARD",3,"year1",0.589689306,0.001371742,0.999803382,0.874634566,"12.8.2",0.037033396
13,"glmnet","none","FFS","MEDIAN","UNKNOWN","HARD",3,"year1",0.600542585,0,0.999742765,0.862038372,"13.8.2",0
16,"glmnet","none","FFS","MEDIAN","DROP","HARD",3,"year1",0.611977702,0.00605449,0.997993518,0.866398929,"16.8.2",0.077732504
1,"glmnet","down","FFS","DROP","UNKNOWN","LABEL",3,"year1",0.614514492,0.508634223,0.648005148,0.631251179,"1.3.2.2",0.574105909
4,"glmnet","down","FFS","DROP","DROP","LABEL",3,"year1",0.608871174,0.55829904,0.599685411,0.594496991,"4.3.2.2",0.57862232
5,"glmnet","down","FFS","MEDIAN","UNKNOWN","LABEL",3,"year1",0.595133355,0.531400966,0.619935691,0.607740934,"5.3.2.2",0.573963784
8,"glmnet","down","FFS","MEDIAN","DROP","LABEL",3,"year1",0.609100752,0.527749748,0.626022534,0.612985274,"8.3.2.2",0.574789731
9,"glmnet","down","FFS","DROP","UNKNOWN","HARD",3,"year1",0.614329961,0.533751962,0.642213642,0.629175316,"9.3.2.2",0.585476551
12,"glmnet","down","FFS","DROP","DROP","HARD",3,"year1",0.594328847,0.533607682,0.586708612,0.580051591,"12.3.2.2",0.559528571
