,gmean-fold1,gmean-fold2,gmean-fold3,gmean-fold4,gmean-fold5
month1,0.6645835,0.6464636,0.6473737,0.6431877,0.652654
year1,0.6192265,0.6223564,0.6201267,0.6205479,0.6136405
year2,0.6096841,0.6112185,0.601721,0.5888219,0.6013446
year3,0.5990433,0.5910082,0.5980205,0.5967565,0.5845738
year4,0.5980896,0.5997524,0.5801808,0.5860811,0.602597
year5,0.6009614,0.591937,0.5918895,0.5864049,0.5951194
year6,0.590812,0.6013064,0.5946357,0.589767,0.5900277
year7,0.5988478,0.5967124,0.593926,0.6030686,0.5948288
year8,0.6184001,0.6142142,0.5946892,0.6154117,0.6201197
year9,0.6221875,0.6203204,0.6321894,0.6363901,0.6296207
year10,0.63149,0.624688,0.6378935,0.6388608,0.6434476
