"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
1,"kernelpls","none","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.608804654245546,0.00469483568075117,0.999353726841879,0.879000189358076,"1.11",0.0684967264507503
4,"kernelpls","none","FFS","DROP","DROP","LABEL",1,"year1",0.621354112459258,0.00137931034482759,0.999205718824464,0.87363304981774,"4.11",0.0371243152742979
5,"kernelpls","none","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.612657026628279,0.00158730158730159,0.999226505092175,0.859820339358989,"5.11",0.0398255422763661
8,"kernelpls","none","FFS","MEDIAN","DROP","LABEL",1,"year1",0.615921132096826,0.00397614314115308,0.999222274070617,0.864559515803631,"8.11",0.0630321409404224
9,"kernelpls","none","FFS","DROP","UNKNOWN","HARD",1,"year1",0.602242975782793,0.00469483568075117,0.999569151227919,0.879189547434198,"9.11",0.0685041087567965
12,"kernelpls","none","FFS","DROP","DROP","HARD",1,"year1",0.602082660020268,0.00137931034482759,0.999205718824464,0.87363304981774,"12.11",0.0371243152742979
13,"kernelpls","none","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.612112868868057,0.00238095238095238,0.999226505092175,0.859931240989243,"13.11",0.0487761286533683
16,"kernelpls","none","FFS","MEDIAN","DROP","HARD",1,"year1",0.615921132096826,0.00397614314115308,0.999222274070617,0.864559515803631,"16.11",0.0630321409404224
1,"kernelpls","none","LASSO","DROP","UNKNOWN","LABEL",1,"year1",0.650419824707256,0.00469483568075117,0.999138302455838,0.878810831281954,"1.1.9",0.0684893433489826
4,"kernelpls","none","LASSO","DROP","DROP","LABEL",1,"year1",0.641669633808989,0.00137931034482759,0.999205718824464,0.87363304981774,"4.1.9",0.0371243152742979
5,"kernelpls","none","LASSO","MEDIAN","UNKNOWN","LABEL",1,"year1",0.655462449687021,0.00317460317460317,0.998968673456233,0.859820339358989,"5.1.9",0.0563145551530266
8,"kernelpls","none","LASSO","MEDIAN","DROP","LABEL",1,"year1",0.651410250582366,0.00397614314115308,0.999066728884741,0.864425016812374,"8.1.9",0.0630272347609294
9,"kernelpls","none","LASSO","DROP","UNKNOWN","HARD",1,"year1",0.658662251646698,0.00469483568075117,0.999138302455838,0.878810831281954,"9.1.9",0.0684893433489826
12,"kernelpls","none","LASSO","DROP","DROP","HARD",1,"year1",0.64764755827011,0.00137931034482759,0.999205718824464,0.87363304981774,"12.1.9",0.0371243152742979
13,"kernelpls","none","LASSO","MEDIAN","UNKNOWN","HARD",1,"year1",0.664235580356502,0.00396825396825397,0.999097589274204,0.860042142619497,"13.1.9",0.0629656491534101
16,"kernelpls","none","LASSO","MEDIAN","DROP","HARD",1,"year1",0.661951297348898,0.00397614314115308,0.998444548141235,0.863887020847344,"16.1.9",0.0630076062226892
1,"kernelpls","none","RF","DROP","UNKNOWN","LABEL",1,"year1",0.649473508194554,0.00469483568075117,0.999138302455838,0.878810831281954,"1.2.9",0.0684893433489826
4,"kernelpls","none","RF","DROP","DROP","LABEL",1,"year1",0.63530990660349,0.00137931034482759,0.999205718824464,0.87363304981774,"4.2.9",0.0371243152742979
5,"kernelpls","none","RF","MEDIAN","UNKNOWN","LABEL",1,"year1",0.647251228281264,0.00317460317460317,0.999226505092175,0.860042142619497,"5.2.9",0.0563218220161001
8,"kernelpls","none","RF","MEDIAN","DROP","LABEL",1,"year1",0.636245986516736,0.00397614314115308,0.999222274070617,0.864559515803631,"8.2.9",0.0630321409404224
9,"kernelpls","none","RF","DROP","UNKNOWN","HARD",1,"year1",0.651643597041101,0.00469483568075117,0.999138302455838,0.878810831281954,"9.2.9",0.0684893433489826
12,"kernelpls","none","RF","DROP","DROP","HARD",1,"year1",0.638650269781709,0.00137931034482759,0.999404289118348,0.873806630793265,"12.2.9",0.0371280039141077
13,"kernelpls","none","RF","MEDIAN","UNKNOWN","HARD",1,"year1",0.640694221911188,0.00317460317460317,0.999355420910146,0.86015304424975,"13.2.9",0.0563254550960597
16,"kernelpls","none","RF","MEDIAN","DROP","HARD",1,"year1",0.638964471067513,0.00397614314115308,0.999066728884741,0.864425016812374,"16.2.9",0.0630272347609294
1,"kernelpls","down","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.625672484810727,0.519561815336463,0.640241275312365,0.625639083506912,"1.3.5",0.576753776974737
4,"kernelpls","down","FFS","DROP","DROP","LABEL",1,"year1",0.622158527567034,0.580689655172414,0.604447974583002,0.601458080194411,"4.3.5",0.59244973282994
5,"kernelpls","down","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.612709462625667,0.537301587301587,0.637101972412015,0.623156260397028,"5.3.5",0.585077688046594
8,"kernelpls","down","FFS","MEDIAN","DROP","LABEL",1,"year1",0.608545569018615,0.544731610337972,0.615492300513299,0.605917955615333,"8.3.5",0.579032047480304
9,"kernelpls","down","FFS","DROP","UNKNOWN","HARD",1,"year1",0.622644912512078,0.535211267605634,0.648858250753985,0.635106987313009,"9.3.5",0.589301490650087
12,"kernelpls","down","FFS","DROP","DROP","HARD",1,"year1",0.602293007586755,0.518620689655172,0.622120730738681,0.609095643117514,"12.3.5",0.568018206067794
13,"kernelpls","down","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.61535377160619,0.558730158730159,0.616862188990589,0.608739048464012,"13.3.5",0.587077089290108
16,"kernelpls","down","FFS","MEDIAN","DROP","HARD",1,"year1",0.608545569018615,0.544731610337972,0.615492300513299,0.605917955615333,"16.3.5",0.579032047480304
1,"kernelpls","down","LASSO","DROP","UNKNOWN","LABEL",1,"year1",0.647468274629346,0.583724569640063,0.623007324429125,0.618254118538156,"1.1.1.5",0.603046169322879
4,"kernelpls","down","LASSO","DROP","DROP","LABEL",1,"year1",0.641738927994304,0.6,0.61119936457506,0.609789967019615,"4.1.1.5",0.605573792980703
5,"kernelpls","down","LASSO","MEDIAN","UNKNOWN","LABEL",1,"year1",0.651208125379842,0.596031746031746,0.627046538610287,0.622712653876012,"5.1.1.5",0.611342492594006
8,"kernelpls","down","LASSO","MEDIAN","DROP","LABEL",1,"year1",0.648532973878613,0.572564612326044,0.636490900606626,0.627841291190316,"8.1.1.5",0.60368217279864
9,"kernelpls","down","LASSO","DROP","UNKNOWN","HARD",1,"year1",0.656371134076226,0.60093896713615,0.621283929340801,0.618822192766522,"9.1.1.5",0.611026777478983
