"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
1,"lda","none","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.622992996516126,0.00938967136150235,0.998061180525636,0.87843211512971,"1.7",0.09680633493635
4,"lda","none","FFS","DROP","DROP","LABEL",1,"year1",0.622255210758401,0.00827586206896552,0.99801429706116,0.873459468842215,"4.7",0.0908813988962193
5,"lda","none","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.609277897485324,0.00238095238095238,0.99858192600232,0.859376732837973,"5.7",0.0487603939103371
8,"lda","none","FFS","MEDIAN","DROP","LABEL",1,"year1",0.625721406511932,0.0139165009940358,0.997511277025976,0.864425016812374,"8.7",0.117821333714629
9,"lda","none","FFS","DROP","UNKNOWN","HARD",1,"year1",0.625600845245728,0.00938967136150235,0.997845756139595,0.878242757053588,"9.7",0.0967958868941269
12,"lda","none","FFS","DROP","DROP","HARD",1,"year1",0.602082660020268,0.00689655172413793,0.99801429706116,0.87328588786669,"12.7",0.0829629870551407
13,"lda","none","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.617925949117131,0.00317460317460317,0.99845301018435,0.859376732837973,"13.7",0.0563000186129928
16,"lda","none","FFS","MEDIAN","DROP","HARD",1,"year1",0.625721406511932,0.0139165009940358,0.997511277025976,0.864425016812374,"16.7",0.117821333714629
1,"lda","none","LASSO","DROP","UNKNOWN","LABEL",1,"year1",0.6530119970144,0.0125195618153365,0.998061180525636,0.878810831281954,"1.1.5",0.111782327069526
4,"lda","none","LASSO","DROP","DROP","LABEL",1,"year1",0.640350031497357,0.00551724137931034,0.99801429706116,0.873112306891165,"4.1.5",0.0742043514686919
5,"lda","none","LASSO","MEDIAN","UNKNOWN","LABEL",1,"year1",0.655255263550997,0.0142857142857143,0.997163852004641,0.859820339358989,"5.1.5",0.119353248325216
8,"lda","none","LASSO","MEDIAN","DROP","LABEL",1,"year1",0.652363776587635,0.0119284294234592,0.99688909628247,0.863618022864828,"8.1.5",0.10904733480476
9,"lda","none","LASSO","DROP","UNKNOWN","HARD",1,"year1",0.660733899302753,0.0125195618153365,0.998061180525636,0.878810831281954,"9.1.5",0.111782327069526
12,"lda","none","LASSO","DROP","DROP","HARD",1,"year1",0.640671578428419,0.00689655172413793,0.998610007942812,0.873806630793265,"12.1.5",0.0829877435048055
13,"lda","none","LASSO","MEDIAN","UNKNOWN","HARD",1,"year1",0.65787604027903,0.0103174603174603,0.997163852004641,0.859265831207719,"13.1.5",0.101430757036827
16,"lda","none","LASSO","MEDIAN","DROP","HARD",1,"year1",0.65670698162866,0.0119284294234592,0.997200186654223,0.863887020847344,"16.1.5",0.109064348196674
1,"lda","none","RF","DROP","UNKNOWN","LABEL",1,"year1",0.648271649139416,0.0125195618153365,0.997630331753555,0.87843211512971,"1.2.5",0.111758197047211
4,"lda","none","RF","DROP","DROP","LABEL",1,"year1",0.629565336473939,0.0096551724137931,0.99801429706116,0.87363304981774,"4.2.5",0.0981631300924946
5,"lda","none","RF","MEDIAN","UNKNOWN","LABEL",1,"year1",0.64835212844108,0.00634920634920635,0.999097589274204,0.860374847510258,"5.2.5",0.0796459462703315
8,"lda","none","RF","MEDIAN","DROP","LABEL",1,"year1",0.639306175700503,0.00497017892644135,0.998600093327112,0.864156018829859,"8.2.5",0.0704501322908394
9,"lda","none","RF","DROP","UNKNOWN","HARD",1,"year1",0.651042161822484,0.0109546165884194,0.998276604911676,0.878810831281954,"9.2.5",0.10457407640518
12,"lda","none","RF","DROP","DROP","HARD",1,"year1",0.635106132398454,0.00827586206896552,0.998610007942812,0.87398021176879,"12.2.5",0.0909085182280696
13,"lda","none","RF","MEDIAN","UNKNOWN","HARD",1,"year1",0.639806135165166,0.00634920634920635,0.998710841820291,0.860042142619497,"13.2.5",0.0796305294337958
16,"lda","none","RF","MEDIAN","DROP","HARD",1,"year1",0.648759333870783,0.010934393638171,0.99688909628247,0.863483523873571,"16.2.5",0.104404874370659
1,"lda","down","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.622458986770448,0.530516431924883,0.62063765618268,0.609733005112668,"1.3.1",0.573810486899863
4,"lda","down","FFS","DROP","DROP","LABEL",1,"year1",0.619902221248391,0.569655172413793,0.592732327243844,0.58982815483423,"4.3.1",0.581079199482584
5,"lda","down","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.610749277150592,0.545238095238095,0.625112801340725,0.613951425085949,"5.3.1",0.583811025171644
8,"lda","down","FFS","MEDIAN","DROP","LABEL",1,"year1",0.617319647212385,0.540755467196819,0.635246539119614,0.622461331540013,"8.3.1",0.586099854160355
9,"lda","down","FFS","DROP","UNKNOWN","HARD",1,"year1",0.624690264233687,0.563380281690141,0.613959500215424,0.607839424351449,"9.3.1",0.588126411732804
12,"lda","down","FFS","DROP","DROP","HARD",1,"year1",0.60266275916847,0.508965517241379,0.629666401906275,0.614476653358792,"12.3.1",0.566108192782745
13,"lda","down","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.61955734809931,0.584126984126984,0.593270594301921,0.591992902295664,"13.3.1",0.588681036742993
16,"lda","down","FFS","MEDIAN","DROP","HARD",1,"year1",0.617319647212385,0.540755467196819,0.635246539119614,0.622461331540013,"16.3.1",0.586099854160355
1,"lda","down","LASSO","DROP","UNKNOWN","LABEL",1,"year1",0.649132335301482,0.589984350547731,0.625376992675571,0.621094489679985,"1.1.1.1",0.607422948917136
4,"lda","down","LASSO","DROP","DROP","LABEL",1,"year1",0.636589247076224,0.582068965517241,0.610603653693407,0.607012671411213,"4.1.1.1",0.596165612096479
5,"lda","down","LASSO","MEDIAN","UNKNOWN","LABEL",1,"year1",0.651725732620408,0.603174603174603,0.623565811525074,0.620716424531441,"5.1.1.1",0.613285464461605
8,"lda","down","LASSO","MEDIAN","DROP","LABEL",1,"year1",0.64432428604605,0.564612326043738,0.63322445170322,0.623940820443847,"8.1.1.1",0.59793505549008
9,"lda","down","LASSO","DROP","UNKNOWN","HARD",1,"year1",0.65770750694988,0.613458528951487,0.627531236535976,0.625828441583034,"9.1.1.1",0.620454985664929
12,"lda","down","LASSO","DROP","DROP","HARD",1,"year1",0.635956834926461,0.579310344827586,0.612787926926132,0.608574900190939,"12.1.1.1",0.595814052581642
13,"lda","down","LASSO","MEDIAN","UNKNOWN","HARD",1,"year1",0.652504445549437,0.607936507936508,0.614928451721026,0.613951425085949,"13.1.1.1",0.611422485332429
16,"lda","down","LASSO","MEDIAN","DROP","HARD",1,"year1",0.645943440306983,0.578528827037773,0.636646445792503,0.628782784129119,"16.1.1.1",0.606892347556059
1,"lda","down","RF","DROP","UNKNOWN","LABEL",1,"year1",0.637795753408864,0.571205007824726,0.617621714778113,0.612005302026131,"1.2.1.1",0.593960113494629
4,"lda","down","RF","DROP","DROP","LABEL",1,"year1",0.621901070910136,0.575172413793103,0.607227958697379,0.603193889949661,"4.2.1.1",0.590982885307714
5,"lda","down","RF","MEDIAN","UNKNOWN","LABEL",1,"year1",0.646350863838294,0.596031746031746,0.613381461905376,0.610957081069092,"5.2.1.1",0.604644377897427
8,"lda","down","RF","MEDIAN","DROP","LABEL",1,"year1",0.630660120780992,0.588469184890656,0.602893140457303,0.600941492938803,"8.2.1.1",0.595637502967263
9,"lda","down","RF","DROP","UNKNOWN","HARD",1,"year1",0.639664787518737,0.566510172143975,0.625376992675571,0.618254118538156,"9.2.1.1",0.595216286550964
12,"lda","down","RF","DROP","DROP","HARD",1,"year1",0.628148777080879,0.580689655172414,0.605242255758539,0.602152404096511,"12.2.1.1",0.592838862417267
13,"lda","down","RF","MEDIAN","UNKNOWN","HARD",1,"year1",0.638398906466459,0.584920634920635,0.603841691375532,0.601197737606743,"13.2.1.1",0.594305868649239
16,"lda","down","RF","MEDIAN","DROP","HARD",1,"year1",0.638101241671142,0.571570576540755,0.630891273915072,0.622864828513786,"16.2.1.1",0.600498866914976
1,"lda","up","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.621755739087692,0.527386541471048,0.630547177940543,0.618064760462034,"1.4.1",0.576664629926609
4,"lda","up","FFS","DROP","DROP","LABEL",1,"year1",0.621722220700611,0.582068965517241,0.602660841938046,0.60006943239021,"4.4.1",0.59227541973699
5,"lda","up","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.60924474770356,0.542857142857143,0.626015212066521,0.614395031606965,"5.4.1",0.582955255064692
8,"lda","up","FFS","MEDIAN","DROP","LABEL",1,"year1",0.622436403510806,0.536779324055666,0.637113081350132,0.623537323470074,"8.4.1",0.584798366237583
9,"lda","up","FFS","DROP","UNKNOWN","HARD",1,"year1",0.624404043101059,0.549295774647887,0.621068504954761,0.612384018178375,"9.4.1",0.584080735462599
12,"lda","up","FFS","DROP","DROP","HARD",1,"year1",0.601800005477801,0.515862068965517,0.620532168387609,0.607359833362264,"12.4.1",0.565781767330912
13,"lda","up","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.618113900194602,0.586507936507937,0.590047698852649,0.589553066430077,"13.4.1",0.588275155259275
16,"lda","up","FFS","MEDIAN","DROP","HARD",1,"year1",0.622436403510806,0.536779324055666,0.637113081350132,0.623537323470074,"16.4.1",0.584798366237583
1,"lda","up","LASSO","DROP","UNKNOWN","LABEL",1,"year1",0.650344982432293,0.575899843505477,0.634855665661353,0.627722022344253,"1.1.2.1",0.604659638559528
4,"lda","up","LASSO","DROP","DROP","LABEL",1,"year1",0.639397989646955,0.583448275862069,0.610405083399523,0.607012671411213,"4.1.2.1",0.596774491317193
5,"lda","up","LASSO","MEDIAN","UNKNOWN","LABEL",1,"year1",0.653424863564093,0.60952380952381,0.628593528425938,0.625928801153377,"5.1.2.1",0.618985235759457
8,"lda","up","LASSO","MEDIAN","DROP","LABEL",1,"year1",0.650450694495339,0.579522862823062,0.639135168766527,0.631069266980498,"8.1.2.1",0.608599575036393
9,"lda","up","LASSO","DROP","UNKNOWN","HARD",1,"year1",0.659203003939669,0.604068857589984,0.639164153382163,0.634917629236887,"9.1.2.1",0.621368779346076
12,"lda","up","LASSO","DROP","DROP","HARD",1,"year1",0.638751335214045,0.577931034482759,0.609809372517871,0.605797604582538,"12.1.2.1",0.59365626544031
13,"lda","up","LASSO","MEDIAN","UNKNOWN","HARD",1,"year1",0.656758462914194,0.608730158730159,0.622792316617249,0.620827326161695,"13.1.2.1",0.615721094124882
16,"lda","up","LASSO","MEDIAN","DROP","HARD",1,"year1",0.654577125828015,0.581510934393638,0.641623891740551,0.633490248823134,"16.1.2.1",0.610828379182999
1,"lda","up","RF","DROP","UNKNOWN","LABEL",1,"year1",0.647846194405169,0.593114241001565,0.629039207238259,0.624692293126302,"1.2.2.1",0.610812665193958
4,"lda","up","RF","DROP","DROP","LABEL",1,"year1",0.628027443784065,0.566896551724138,0.607625099285147,0.602499566047561,"4.2.2.1",0.586907636281712
5,"lda","up","RF","MEDIAN","UNKNOWN","LABEL",1,"year1",0.647126098086521,0.594444444444444,0.612736882815521,0.610180769657314,"5.2.2.1",0.603521363247311
8,"lda","up","RF","MEDIAN","DROP","LABEL",1,"year1",0.635282719610166,0.599403578528827,0.603204230829056,0.602689979825151,"8.2.2.1",0.601300901830909
9,"lda","up","RF","DROP","UNKNOWN","HARD",1,"year1",0.647409614467888,0.560250391236307,0.628823782852219,0.620526415451619,"9.2.2.1",0.59354761423297
12,"lda","up","RF","DROP","DROP","HARD",1,"year1",0.631833146175125,0.582068965517241,0.611795075456712,0.608054157264364,"12.2.2.1",0.596746953640847
13,"lda","up","RF","MEDIAN","UNKNOWN","HARD",1,"year1",0.638544192547029,0.584126984126984,0.602681449013794,0.600088721304203,"13.2.2.1",0.593331692396174
16,"lda","up","RF","MEDIAN","DROP","HARD",1,"year1",0.644035460591561,0.573558648111332,0.634002177632602,0.625823806321453,"16.2.2.1",0.603023574914444
1,"lda","rose","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.622613053976114,0.503912363067293,0.654243860404998,0.636053777693619,"1.5.1",0.57417903977675
4,"lda","rose","FFS","DROP","DROP","LABEL",1,"year1",0.621360685820711,0.558620689655172,0.616560762509929,0.609269224093039,"4.5.1",0.586876135455869
5,"lda","rose","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.611291030528494,0.522222222222222,0.649606806755189,0.631806587556837,"5.5.1",0.582442366414375
8,"lda","rose","FFS","MEDIAN","DROP","LABEL",1,"year1",0.622249470976289,0.512922465208748,0.663244672577384,0.642905178211163,"8.5.1",0.583260741431275
9,"lda","rose","FFS","DROP","UNKNOWN","HARD",1,"year1",0.625082343358826,0.517996870109546,0.643688065489013,0.628479454648741,"9.5.1",0.577432596283045
12,"lda","rose","FFS","DROP","DROP","HARD",1,"year1",0.600810166799047,0.499310344827586,0.636219221604448,0.618989758722444,"12.5.1",0.563622958124716
13,"lda","rose","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.619640427182003,0.565873015873016,0.613768209359288,0.607075524010203,"13.5.1",0.589334258020965
16,"lda","rose","FFS","MEDIAN","DROP","HARD",1,"year1",0.622249470976289,0.512922465208748,0.663244672577384,0.642905178211163,"16.5.1",0.583260741431275
1,"lda","rose","LASSO","DROP","UNKNOWN","LABEL",1,"year1",0.652173898385767,0.577464788732394,0.649935372684188,0.641166445748911,"1.1.3.1",0.612629408922543
4,"lda","rose","LASSO","DROP","DROP","LABEL",1,"year1",0.637661526663198,0.56551724137931,0.62648927720413,0.618816177746919,"4.1.3.1",0.595223057179573
5,"lda","rose","LASSO","MEDIAN","UNKNOWN","LABEL",1,"year1",0.650478523238612,0.588095238095238,0.634523656052598,0.628035932128202,"5.1.3.1",0.610868513334345
8,"lda","rose","LASSO","MEDIAN","DROP","LABEL",1,"year1",0.647682577733167,0.550695825049702,0.6545341421683,0.640484196368527,"8.1.3.1",0.600374232828634
9,"lda","rose","LASSO","DROP","UNKNOWN","HARD",1,"year1",0.658301862493839,0.57433489827856,0.658983196897889,0.648740768793789,"9.1.3.1",0.615204882423433
12,"lda","rose","LASSO","DROP","DROP","HARD",1,"year1",0.639759524526854,0.564137931034483,0.629467831612391,0.62124631140427,"12.1.3.1",0.59590828168316
13,"lda","rose","LASSO","MEDIAN","UNKNOWN","HARD",1,"year1",0.6574450931161,0.599206349206349,0.632976666236947,0.62825773538871,"13.1.3.1",0.61586007932699
16,"lda","rose","LASSO","MEDIAN","DROP","HARD",1,"year1",0.650572069217917,0.571570576540755,0.648934515476746,0.638466711499664,"16.1.3.1",0.609025348526841
1,"lda","rose","RF","DROP","UNKNOWN","LABEL",1,"year1",0.645268518574707,0.555555555555556,0.640887548470487,0.630562393486082,"1.2.3.1",0.596698112984413
4,"lda","rose","RF","DROP","DROP","LABEL",1,"year1",0.634357864753088,0.55448275862069,0.62450357426529,0.615691720187467,"4.2.3.1",0.588452601852604
5,"lda","rose","RF","MEDIAN","UNKNOWN","LABEL",1,"year1",0.644752205381314,0.577777777777778,0.625757380430579,0.619052900077631,"5.2.3.1",0.601289205535259
8,"lda","rose","RF","MEDIAN","DROP","LABEL",1,"year1",0.6346732175001,0.571570576540755,0.628247005755172,0.620578345662408,"8.2.3.1",0.599239103605136
9,"lda","rose","RF","DROP","UNKNOWN","HARD",1,"year1",0.6478067505035,0.569640062597809,0.639164153382163,0.630751751562204,"9.2.3.1",0.60340161446825
12,"lda","rose","RF","DROP","DROP","HARD",1,"year1",0.634172988962231,0.576551724137931,0.619737887212073,0.614303072383267,"12.2.3.1",0.597754922510655
13,"lda","rose","RF","MEDIAN","UNKNOWN","HARD",1,"year1",0.638244207484894,0.573809523809524,0.621374242619569,0.614727736497726,"13.2.3.1",0.597118462505589
16,"lda","rose","RF","MEDIAN","DROP","HARD",1,"year1",0.643220317231778,0.567594433399602,0.645512521387463,0.634969737726967,"16.2.3.1",0.605301010927015
1,"lda","smote","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.620246419875951,0.261345852895149,0.863420939250323,0.790569967809127,"1.6.1",0.47502787473569
4,"lda","smote","FFS","DROP","DROP","LABEL",1,"year1",0.621974747336418,0.219310344827586,0.880460683081811,0.797257420586704,"4.6.1",0.439424778561478
5,"lda","smote","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.607996310552066,0.201587301587302,0.886425164367668,0.790728623710769,"5.6.1",0.422719832683491
8,"lda","smote","FFS","MEDIAN","DROP","LABEL",1,"year1",0.621222810902511,0.205765407554672,0.90807279514699,0.813046402151984,"8.6.1",0.432261458821777
9,"lda","smote","FFS","DROP","UNKNOWN","HARD",1,"year1",0.623044408439242,0.291079812206573,0.858466178371392,0.789812535504639,"9.6.1",0.499882160099797
