"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
1,"naive_bayes","none","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.619817256740694,0.0391236306729265,0.989444205084016,0.874455595531149,"1.10",0.196750221476811
4,"naive_bayes","none","FFS","DROP","DROP","LABEL",1,"year1",0.621787954315138,0.0248275862068966,0.990270055599682,0.868772782503038,"4.10",0.156799283077154
5,"naive_bayes","none","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.607113339513107,0.0158730158730159,0.993940956555369,0.857269601863147,"5.10",0.125605893891346
8,"naive_bayes","none","FFS","MEDIAN","DROP","LABEL",1,"year1",0.622943858083417,0.0437375745526839,0.98755638512988,0.859852051109617,"8.10",0.207830029157476
9,"naive_bayes","none","FFS","DROP","UNKNOWN","HARD",1,"year1",0.620139719065024,0.0375586854460094,0.989013356311935,0.873887521302784,"9.10",0.192733083697693
12,"naive_bayes","none","FFS","DROP","DROP","HARD",1,"year1",0.602712607159487,0.0248275862068966,0.99066719618745,0.869119944454088,"12.10",0.156830721530217
13,"naive_bayes","none","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.616794354714942,0.0174603174603175,0.993940956555369,0.857491405123655,"13.10",0.131736572895564
16,"naive_bayes","none","FFS","MEDIAN","DROP","HARD",1,"year1",0.622943858083417,0.0437375745526839,0.98755638512988,0.859852051109617,"16.10",0.207830029157476
1,"naive_bayes","none","LASSO","DROP","UNKNOWN","LABEL",1,"year1",0.632591855407422,0.107981220657277,0.965747522619561,0.861957962507101,"1.1.8",0.322928159718538
4,"naive_bayes","none","LASSO","DROP","DROP","LABEL",1,"year1",0.6189036180877,0.0593103448275862,0.972001588562351,0.857142857142857,"4.1.8",0.240103622193824
5,"naive_bayes","none","LASSO","MEDIAN","UNKNOWN","LABEL",1,"year1",0.632216165225061,0.157936507936508,0.925099909758927,0.81789952312299,"5.1.8",0.382239518155441
8,"naive_bayes","none","LASSO","MEDIAN","DROP","LABEL",1,"year1",0.629908679823378,0.0974155069582505,0.954891896095816,0.838870208473436,"8.1.8",0.304993898543068
9,"naive_bayes","none","LASSO","DROP","UNKNOWN","HARD",1,"year1",0.637936335519941,0.0829420970266041,0.96531667384748,0.858549517136906,"9.1.8",0.282958281772519
12,"naive_bayes","none","LASSO","DROP","DROP","HARD",1,"year1",0.604332119087398,0.161379310344828,0.898729150119142,0.805936469362958,"12.1.8",0.380836303985085
13,"naive_bayes","none","LASSO","MEDIAN","UNKNOWN","HARD",1,"year1",0.601186230153614,0.300793650793651,0.80327446177646,0.733059775978707,"13.1.8",0.491548428892867
16,"naive_bayes","none","LASSO","MEDIAN","DROP","HARD",1,"year1",0.602061298409574,0.185884691848907,0.882096749105615,0.787895090786819,"16.1.8",0.40492997220312
1,"naive_bayes","none","RF","DROP","UNKNOWN","LABEL",1,"year1",0.613052964731758,0.167449139280125,0.912322274881517,0.822192766521492,"1.2.8",0.390854934310667
4,"naive_bayes","none","RF","DROP","DROP","LABEL",1,"year1",0.603348032099915,0.102068965517241,0.940826052422558,0.835271654226697,"4.2.8",0.309885691671042
5,"naive_bayes","none","RF","MEDIAN","UNKNOWN","LABEL",1,"year1",0.624574117387061,0.152380952380952,0.92406858321516,0.81623599866918,"5.2.8",0.375247186232813
8,"naive_bayes","none","RF","MEDIAN","DROP","LABEL",1,"year1",0.608263624042028,0.0964214711729622,0.945870275314979,0.83093476798924,"8.2.8",0.301997025622182
9,"naive_bayes","none","RF","DROP","UNKNOWN","HARD",1,"year1",0.60335279906737,0.2018779342723,0.872468763464024,0.791327400113615,"9.2.8",0.419681059478773
12,"naive_bayes","none","RF","DROP","DROP","HARD",1,"year1",0.608869107940073,0.122758620689655,0.928316123907863,0.826939767401493,"12.2.8",0.337577853146347
13,"naive_bayes","none","RF","MEDIAN","UNKNOWN","HARD",1,"year1",0.600424808314456,0.270634920634921,0.828799793734691,0.750804036819341,"13.2.8",0.473605496589331
16,"naive_bayes","none","RF","MEDIAN","DROP","HARD",1,"year1",0.61624667920305,0.124254473161034,0.928760304868564,0.81990585070612,"16.2.8",0.339709614780513
1,"naive_bayes","down","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.610085401104025,0.419405320813772,0.735028005170185,0.696837720128763,"1.3.4",0.555224870044118
4,"naive_bayes","down","FFS","DROP","DROP","LABEL",1,"year1",0.617663717783682,0.230344827586207,0.880659253375695,0.798819649366429,"4.3.4",0.450394609071892
5,"naive_bayes","down","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.614047475807822,0.520634920634921,0.64973572257316,0.631695685926583,"5.3.4",0.58161422468467
8,"naive_bayes","down","FFS","MEDIAN","DROP","LABEL",1,"year1",0.611988436467831,0.493041749502982,0.676154923005133,0.65137861466039,"8.3.4",0.577384279465163
9,"naive_bayes","down","FFS","DROP","UNKNOWN","HARD",1,"year1",0.610101751781213,0.458528951486698,0.706161137440758,0.676197689831471,"9.3.4",0.569030162584871
12,"naive_bayes","down","FFS","DROP","DROP","HARD",1,"year1",0.591578154528772,0.442758620689655,0.697577442414615,0.665509460163166,"12.3.4",0.55575032724031
13,"naive_bayes","down","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.612456337440223,0.637301587301587,0.528941601134459,0.544083398025951,"13.3.4",0.580599106090281
16,"naive_bayes","down","FFS","MEDIAN","DROP","HARD",1,"year1",0.611988436467831,0.493041749502982,0.676154923005133,0.65137861466039,"16.3.4",0.577384279465163
1,"naive_bayes","down","LASSO","DROP","UNKNOWN","LABEL",1,"year1",0.629981815349948,0.363067292644757,0.802886686772943,0.749668623366787,"1.1.1.4",0.539909155013296
4,"naive_bayes","down","LASSO","DROP","DROP","LABEL",1,"year1",0.613243953876914,0.340689655172414,0.793884034948372,0.736851241103975,"4.1.1.4",0.520065455604816
5,"naive_bayes","down","LASSO","MEDIAN","UNKNOWN","LABEL",1,"year1",0.607643889492542,0.593650793650794,0.556013922908341,0.561273150715315,"5.1.1.4",0.574524243714247
8,"naive_bayes","down","LASSO","MEDIAN","DROP","LABEL",1,"year1",0.64052324720212,0.219681908548708,0.902784258827189,0.810356422326833,"8.1.1.4",0.445337365361237
9,"naive_bayes","down","LASSO","DROP","UNKNOWN","HARD",1,"year1",0.632897292799836,0.297339593114241,0.837139164153382,0.771823518273054,"9.1.1.4",0.498913437832018
12,"naive_bayes","down","LASSO","DROP","DROP","HARD",1,"year1",0.599708307085536,0.4,0.730937251787133,0.689290053810102,"12.1.1.4",0.540717024620876
13,"naive_bayes","down","LASSO","MEDIAN","UNKNOWN","HARD",1,"year1",0.597160782580403,0.379365079365079,0.744875596235658,0.693800598868803,"13.1.1.4",0.53158234515741
16,"naive_bayes","down","LASSO","MEDIAN","DROP","HARD",1,"year1",0.604396176990012,0.26441351888668,0.829366931093483,0.752925353059852,"16.1.1.4",0.468290325224293
1,"naive_bayes","down","RF","DROP","UNKNOWN","LABEL",1,"year1",0.604814583320691,0.419405320813772,0.725764756570444,0.68869532285552,"1.2.1.4",0.551715144404026
4,"naive_bayes","down","RF","DROP","DROP","LABEL",1,"year1",0.60337158664512,0.242758620689655,0.845512311358221,0.769658045478216,"4.2.1.4",0.453051213971935
5,"naive_bayes","down","RF","MEDIAN","UNKNOWN","LABEL",1,"year1",0.606904669822034,0.638095238095238,0.510506639164625,0.528335366529888,"5.2.1.4",0.570746752480425
8,"naive_bayes","down","RF","MEDIAN","DROP","LABEL",1,"year1",0.591959751832758,0.225646123260437,0.864831233473324,0.778345662407532,"8.2.1.4",0.441753115560941
9,"naive_bayes","down","RF","DROP","UNKNOWN","HARD",1,"year1",0.598167611634671,0.480438184663537,0.653597587246876,0.632645332323424,"9.2.1.4",0.560368841315572
12,"naive_bayes","down","RF","DROP","DROP","HARD",1,"year1",0.611760839199145,0.315862068965517,0.801032565528197,0.739975698663426,"12.2.1.4",0.503006762833754
13,"naive_bayes","down","RF","MEDIAN","UNKNOWN","HARD",1,"year1",0.59924093138609,0.372222222222222,0.760216578574191,0.70599977819674,"13.2.1.4",0.531948779721375
16,"naive_bayes","down","RF","MEDIAN","DROP","HARD",1,"year1",0.604854308586187,0.204771371769384,0.888474101726552,0.795965030262273,"16.2.1.4",0.426537290974795
1,"naive_bayes","up","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.613001552808641,0.353677621283255,0.790822921154675,0.737928422647226,"1.4.4",0.528863280640905
4,"naive_bayes","up","FFS","DROP","DROP","LABEL",1,"year1",0.621723864040974,0.419310344827586,0.744837172359015,0.703870855754209,"4.4.4",0.558854123705161
5,"naive_bayes","up","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.609433517294159,0.565079365079365,0.599974216836406,0.595098147942775,"5.4.4",0.582265445921279
8,"naive_bayes","up","FFS","MEDIAN","DROP","LABEL",1,"year1",0.617155907300016,0.421471172962227,0.744128169233162,0.700470746469401,"8.4.4",0.56002551041978
9,"naive_bayes","up","FFS","DROP","UNKNOWN","HARD",1,"year1",0.613041839528723,0.386541471048513,0.76303317535545,0.717477750426056,"9.4.4",0.54308743868802
12,"naive_bayes","up","FFS","DROP","DROP","HARD",1,"year1",0.591821642792583,0.442758620689655,0.684273232724384,0.653879534802986,"12.4.4",0.55042517447506
13,"naive_bayes","up","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.616789648264445,0.6,0.570968157792961,0.575024952866807,"13.4.4",0.585304104441253
16,"naive_bayes","up","FFS","MEDIAN","DROP","HARD",1,"year1",0.617155907300016,0.421471172962227,0.744128169233162,0.700470746469401,"16.4.4",0.56002551041978
1,"naive_bayes","up","LASSO","DROP","UNKNOWN","LABEL",1,"year1",0.633193290626039,0.391236306729264,0.772942697113313,0.726756296156031,"1.1.2.4",0.549912034903737
4,"naive_bayes","up","LASSO","DROP","DROP","LABEL",1,"year1",0.616112678370903,0.415172413793103,0.737291501191422,0.696754035757681,"4.1.2.4",0.553265842266431
5,"naive_bayes","up","LASSO","MEDIAN","UNKNOWN","LABEL",1,"year1",0.631036585490627,0.496031746031746,0.686863478148769,0.660197404901852,"5.1.2.4",0.583700342942825
8,"naive_bayes","up","LASSO","MEDIAN","DROP","LABEL",1,"year1",0.629094928020923,0.283300198807157,0.842743817078861,0.767047747141896,"8.1.2.4",0.488619986208039
9,"naive_bayes","up","LASSO","DROP","UNKNOWN","HARD",1,"year1",0.637634269401174,0.338028169014085,0.822490305902628,0.763870479075933,"9.1.2.4",0.527280657843714
12,"naive_bayes","up","LASSO","DROP","DROP","HARD",1,"year1",0.602699460436581,0.433103448275862,0.720413026211279,0.684256205519875,"12.1.2.4",0.558581565964143
13,"naive_bayes","up","LASSO","MEDIAN","UNKNOWN","HARD",1,"year1",0.600813090480488,0.415079365079365,0.720897254093077,0.678163469002994,"13.1.2.4",0.547018806364473
16,"naive_bayes","up","LASSO","MEDIAN","DROP","HARD",1,"year1",0.599472537925348,0.249502982107356,0.833255560740395,0.754270342972428,"16.1.2.4",0.455960247458334
1,"naive_bayes","up","RF","DROP","UNKNOWN","LABEL",1,"year1",0.613702609163526,0.420970266040689,0.727488151658768,0.690399545540617,"1.2.2.4",0.553399386289179
4,"naive_bayes","up","RF","DROP","DROP","LABEL",1,"year1",0.598277231519268,0.308965517241379,0.78693407466243,0.72678354452352,"4.2.2.4",0.493087713711206
5,"naive_bayes","up","RF","MEDIAN","UNKNOWN","LABEL",1,"year1",0.620976752180826,0.46984126984127,0.69150444759572,0.660530109792614,"5.2.2.4",0.569997655924355
8,"naive_bayes","up","RF","MEDIAN","DROP","LABEL",1,"year1",0.605761140112196,0.295228628230616,0.816923316223363,0.746334902488231,"8.2.2.4",0.491099938931201
