"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
1,"nnet","none","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.626705948747201,0,1,0.879000189358076,"1.9",0
4,"nnet","none","FFS","DROP","DROP","LABEL",1,"year1",0.62116855194325,0,1,0.874153792744315,"4.9",0
5,"nnet","none","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.444894115095224,0,1,0.860263945880004,"5.9",0
8,"nnet","none","FFS","MEDIAN","DROP","LABEL",1,"year1",0.499844454814124,0,1,0.864694014794889,"8.9",0
9,"nnet","none","FFS","DROP","UNKNOWN","HARD",1,"year1",0.626923733024795,0.00156494522691706,1,0.879189547434198,"9.9",0.0395593886064618
12,"nnet","none","FFS","DROP","DROP","HARD",1,"year1",0.598510175015749,0,1,0.874153792744315,"12.9",0
13,"nnet","none","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.621214427930942,0,1,0.860263945880004,"13.9",0
16,"nnet","none","FFS","MEDIAN","DROP","HARD",1,"year1",0.499844454814124,0,1,0.864694014794889,"16.9",0
1,"nnet","down","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.625348505413255,0.572769953051643,0.601895734597156,0.598371520545351,"1.3.3",0.587152272964346
4,"nnet","down","FFS","DROP","DROP","LABEL",1,"year1",0.621643340363178,0.595862068965517,0.595512311358221,0.595556327026558,"4.3.3",0.595687164491855
5,"nnet","down","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.610108688312246,0.525396825396825,0.643934510764471,0.627370522346678,"5.3.3",0.581653804009834
8,"nnet","down","FFS","MEDIAN","DROP","LABEL",1,"year1",0.499234179616654,0.010934393638171,0.986312023642868,0.854337592468057,"8.3.3",0.103849525355546
9,"nnet","down","FFS","DROP","UNKNOWN","HARD",1,"year1",0.621204030155369,0.550860719874804,0.622576475657044,0.613898882787351,"9.3.3",0.585621828108856
12,"nnet","down","FFS","DROP","DROP","HARD",1,"year1",0.592813946481881,0.48,0.669976171564734,0.646068390904357,"12.3.3",0.567087790691241
13,"nnet","down","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.619969725245605,0.563492063492063,0.618151347170298,0.610513474548076,"13.3.3",0.590189273172082
16,"nnet","down","FFS","MEDIAN","DROP","HARD",1,"year1",0.499234179616654,0.010934393638171,0.986312023642868,0.854337592468057,"16.3.3",0.103849525355546
1,"nnet","up","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.624168222509455,0.54773082942097,0.639379577768203,0.628290096572619,"1.4.3",0.591783665240777
4,"nnet","up","FFS","DROP","DROP","LABEL",1,"year1",0.622396538029636,0.598620689655172,0.583002382843527,0.584967887519528,"4.4.3",0.590759924578843
5,"nnet","up","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.606781330124762,0.538888888888889,0.617764599716385,0.606742819119441,"5.4.3",0.576980483843303
8,"nnet","up","FFS","MEDIAN","DROP","LABEL",1,"year1",0.625799024487388,0.517892644135189,0.664644579250272,0.644788164088769,"8.4.3",0.586697996040589
9,"nnet","up","FFS","DROP","UNKNOWN","HARD",1,"year1",0.625047619240264,0.549295774647887,0.6292546316243,0.619579625071009,"9.4.3",0.58791743495906
