"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
1,"ranger","none","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.579007820680606,0.0625978090766823,0.965101249461439,0.855898504071199,"1.14",0.245791016421379
4,"ranger","none","FFS","DROP","DROP","LABEL",1,"year1",0.528984689545616,0.0427586206896552,0.974583002382844,0.857316438118382,"4.14",0.20413677995274
5,"ranger","none","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.555762025492592,0.0484126984126984,0.97756864767307,0.847732061661306,"5.14",0.217547089425498
8,"ranger","none","FFS","MEDIAN","DROP","LABEL",1,"year1",0.571275257152064,0.0516898608349901,0.983045574739462,0.857027572293208,"8.14",0.225418475180575
9,"ranger","none","FFS","DROP","UNKNOWN","HARD",1,"year1",0.575141981189642,0.0672926447574335,0.960577337354589,0.852490058701004,"9.14",0.254243563388817
12,"ranger","none","FFS","DROP","DROP","HARD",1,"year1",0.543405685957656,0.0289655172413793,0.982128673550437,0.862176705433085,"12.14",0.16866494901721
13,"ranger","none","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.561662993588996,0.0452380952380952,0.977955395126982,0.847621160031052,"13.14",0.210335064369599
16,"ranger","none","FFS","MEDIAN","DROP","HARD",1,"year1",0.571275257152064,0.0516898608349901,0.983045574739462,0.857027572293208,"16.14",0.225418475180575
1,"ranger","down","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.612147946321232,0.557120500782473,0.622791900043085,0.614845673167961,"1.3.8",0.589041709249244
4,"ranger","down","FFS","DROP","DROP","LABEL",1,"year1",0.615429870450001,0.577931034482759,0.557386814932486,0.559972227043916,"4.3.8",0.567565977275754
5,"ranger","down","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.606862260610489,0.518253968253968,0.629753770787676,0.614173228346457,"5.3.8",0.571290110831277
8,"ranger","down","FFS","MEDIAN","DROP","LABEL",1,"year1",0.62342038915983,0.537773359840954,0.638512988023021,0.62488231338265,"8.3.8",0.585982316176202
9,"ranger","down","FFS","DROP","UNKNOWN","HARD",1,"year1",0.61491121076596,0.550860719874804,0.619345109866437,0.611058511645522,"9.3.8",0.584100071111077
12,"ranger","down","FFS","DROP","DROP","HARD",1,"year1",0.579675988058393,0.536551724137931,0.584789515488483,0.578718972400625,"12.3.8",0.560151606971837
13,"ranger","down","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.611854218718986,0.55952380952381,0.610674229727988,0.603526671842076,"13.3.8",0.584539794535344
16,"ranger","down","FFS","MEDIAN","DROP","HARD",1,"year1",0.62342038915983,0.537773359840954,0.638512988023021,0.62488231338265,"16.3.8",0.585982316176202
