"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
1,"rpart","none","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.589780388,0.048513302,0.975657044,0.863472827,"1.13",0.21755998
4,"rpart","none","FFS","DROP","DROP","LABEL",1,"year1",0.590359755,0.017931034,0.992057188,0.869467106,"4.13",0.133373954
5,"rpart","none","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.56914272,0.027777778,0.98891324,0.854607963,"5.13",0.165740195
8,"rpart","none","FFS","MEDIAN","DROP","LABEL",1,"year1",0.585488701,0.076540755,0.971379686,0.850302623,"8.13",0.272672212
9,"rpart","none","FFS","DROP","UNKNOWN","HARD",1,"year1",0.59742728,0.034428795,0.985135717,0.87010036,"9.13",0.184165783
12,"rpart","none","FFS","DROP","DROP","HARD",1,"year1",0.589159021,0.012413793,0.994638602,0.871029335,"12.13",0.111118126
13,"rpart","none","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.602980462,0.026984127,0.990202398,0.855606077,"13.13",0.163461761
16,"rpart","none","FFS","MEDIAN","DROP","HARD",1,"year1",0.585488701,0.076540755,0.971379686,0.850302623,"16.13",0.272672212
1,"rpart","down","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.602435138,0.55086072,0.606850495,0.600075743,"1.3.7",0.57817826
4,"rpart","down","FFS","DROP","DROP","LABEL",1,"year1",0.562614691,0.513103448,0.564733916,0.558236417,"4.3.7",0.538300027
5,"rpart","down","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.565885805,0.521428571,0.572901895,0.565709216,"5.3.7",0.546559619
8,"rpart","down","FFS","MEDIAN","DROP","LABEL",1,"year1",0.595412979,0.589463221,0.58189454,0.582918628,"8.3.7",0.585666654
9,"rpart","down","FFS","DROP","UNKNOWN","HARD",1,"year1",0.601704415,0.549295775,0.609651012,0.60234804,"9.3.7",0.57868707
12,"rpart","down","FFS","DROP","DROP","HARD",1,"year1",0.571911342,0.457931034,0.63482923,0.612567263,"12.3.7",0.539173447
13,"rpart","down","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.578672617,0.506349206,0.606935671,0.592880115,"13.3.7",0.55436576
16,"rpart","down","FFS","MEDIAN","DROP","HARD",1,"year1",0.595412979,0.589463221,0.58189454,0.582918628,"16.3.7",0.585666654
1,"rpart","up","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.606440717,0.502347418,0.666307626,0.646468472,"1.4.7",0.57854811
4,"rpart","up","FFS","DROP","DROP","LABEL",1,"year1",0.545797431,0.44137931,0.658260524,0.630966846,"4.4.7",0.539020015
5,"rpart","up","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.578257478,0.496825397,0.629238108,0.610735278,"5.4.7",0.559125632
8,"rpart","up","FFS","MEDIAN","DROP","LABEL",1,"year1",0.608651559,0.519880716,0.637735262,0.621788837,"8.4.7",0.575800542
9,"rpart","up","FFS","DROP","UNKNOWN","HARD",1,"year1",0.607684886,0.492957746,0.67190866,0.650255633,"9.4.7",0.575519399
12,"rpart","up","FFS","DROP","DROP","HARD",1,"year1",0.572846813,0.437241379,0.665011914,0.636347856,"12.4.7",0.539231608
13,"rpart","up","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.58274426,0.494444444,0.624081475,0.605966508,"13.4.7",0.555494031
16,"rpart","up","FFS","MEDIAN","DROP","HARD",1,"year1",0.608651559,0.519880716,0.637735262,0.621788837,"16.4.7",0.575800542
1,"rpart","rose","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.587307728,0.300469484,0.811934511,0.75004734,"1.5.7",0.493924633
4,"rpart","rose","FFS","DROP","DROP","LABEL",1,"year1",0.580616253,0.299310345,0.791104051,0.729213678,"4.5.7",0.486606233
5,"rpart","rose","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.542331453,0.218253968,0.846848008,0.759010757,"5.5.7",0.429916199
8,"rpart","rose","FFS","MEDIAN","DROP","LABEL",1,"year1",0.574316428,0.298210736,0.796391352,0.728984533,"8.5.7",0.487331972
9,"rpart","rose","FFS","DROP","UNKNOWN","HARD",1,"year1",0.566633898,0.295774648,0.795346833,0.734898693,"9.5.7",0.485018999
12,"rpart","rose","FFS","DROP","DROP","HARD",1,"year1",0.566981321,0.4,0.687648928,0.651449401,"12.5.7",0.52446122
13,"rpart","rose","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.55470819,0.223015873,0.858837179,0.769990019,"13.5.7",0.437646345
16,"rpart","rose","FFS","MEDIAN","DROP","HARD",1,"year1",0.574316428,0.298210736,0.796391352,0.728984533,"16.5.7",0.487331972
1,"rpart","smote","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.5484243,0.237871674,0.836708315,0.764249195,"1.6.7",0.446126897
4,"rpart","smote","FFS","DROP","DROP","LABEL",1,"year1",0.548445674,0.222068966,0.827442415,0.751258462,"4.6.7",0.428659866
5,"rpart","smote","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.541230808,0.271428571,0.803919041,0.729510924,"5.6.7",0.46712589
8,"rpart","smote","FFS","MEDIAN","DROP","LABEL",1,"year1",0.56777549,0.199801193,0.857676155,0.768661735,"8.6.7",0.413962219
9,"rpart","smote","FFS","DROP","UNKNOWN","HARD",1,"year1",0.554327569,0.244131455,0.811072813,0.742473016,"9.6.7",0.444981333
