,specificity-fold1,specificity-fold2,specificity-fold3,specificity-fold4,specificity-fold5
month1,0.6608949,0.6667128,0.6567392,0.6704073,0.6665743
year1,0.6296882,0.6298465,0.6385504,0.6209843,0.6394999
year2,0.617025,0.6357067,0.6097991,0.6221361,0.612619
year3,0.6153696,0.6089167,0.6014861,0.6224091,0.605788
year4,0.6288143,0.6113775,0.6074542,0.6072363,0.5998256
year5,0.6115319,0.6115319,0.6074744,0.6073785,0.6049353
year6,0.6185853,0.6221914,0.622919,0.6027739,0.6027739
year7,0.6263526,0.6257161,0.6366529,0.6175628,0.6232899
year8,0.6698706,0.6596452,0.6478197,0.6607539,0.6537324
year9,0.7309028,0.7352431,0.7304688,0.7138515,0.703125
year10,0.7492308,0.7671795,0.7594872,0.7610256,0.7548718
