"VARIABLE.NAME","DESCRIPTION"
"ACUTE_REJ_EPI","DID RECIPIENT HAVE ANY ACUTE REJECTION EPISODES PRE DISCHARGE?"
"COD","RECIPIENT PRIMARY CAUSE OF DEATH"
"COD_OSTXT","RECIPIENT PRIMARY CAUSE OF DEATH - OTHER SPECIFY"
"COD2","RECIPIENT CONTRIBUTORY CAUSE OF DEATH 1"
"COD2_OSTXT","RECIPIENT CONTRIBUTARY CAUSE OF DEATH 1- OTHER SPECIFY"
"COD3","RECIPIENT CONTRIBUTORY CAUSE OF DEATH 2"
"COD3_OSTXT","RECIPIENT CONTRIBUTARY CAUSE OF DEATH 2- OTHER SPECIFY"
"COMPOSITE_DEATH_DATE","Composite Patient Death Date from OPTN or Verified from External Sources"
"FUNC_STAT_TRF","RECIPIENT FUNCTIONAL STATUS-MOST RECENT AT FOLLOW-UP"
"GRF_FAIL_CAUSE","CAUSE OF GRAFT FAILURE"
"GRF_FAIL_CAUSE_OSTXT","CAUSE OF GRAFT FAILURE OTHER SPECIFIED TEXT"
"GRF_FAIL_DATE","DATE OF GRAFT FAILURE"
"GRF_STAT","GRAFT STATUS"
"POST_TX_VENT_SUPPORT","RECIPIENT VENTILATOR SUPPORT POST TRANSPLANT"
"PST_AIRWAY","EVENTS PRIOR TO DISCHARGE: AIRWAY DEHISCENCE"
"PST_DIAL","EVENTS PRIOR TO DISCHARGE: DIALYSIS"
"PST_PACEMAKER","EVENTS PRIOR TO DISCHARGE: PERMANENT PACEMAKER"
"PST_STROKE","EVENTS PRIOR TO DISCHARGE: STROKE"
"PSTATUS","Boolean Most Recent Patient Status (based on composite death date) (1=Dead, 0=Alive)"
"PX_STAT","RECIPIENT STATUS(Died, ReTX, Lost, Alive)"
"PX_STAT_DATE","RECIPIENT STATUS DATE"
"REINTUBATED","RECIPIENT REINTUBATED POST TRANSPLANT"
