"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
1,"xgbDART","none","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.599837909163055,0.0172143974960876,0.995045239121068,0.876727892444613,"1.12",0.130878203963913
4,"xgbDART","none","FFS","DROP","DROP","LABEL",1,"year1",0.616263454849223,0.00551724137931034,0.998610007942812,0.87363304981774,"4.12",0.0742264943104247
5,"xgbDART","none","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.612850604983518,0.00873015873015873,0.998839757638262,0.860485749140512,"5.12",0.0933810988914529
8,"xgbDART","none","FFS","MEDIAN","DROP","LABEL",1,"year1",0.60220107261239,0.0347912524850895,0.993156011821434,0.863483523873571,"8.12",0.185884753447839
9,"xgbDART","none","FFS","DROP","UNKNOWN","HARD",1,"year1",0.589862647569076,0.0250391236306729,0.994829814735028,0.877485324749101,"9.12",0.157827965591114
12,"xgbDART","none","FFS","DROP","DROP","HARD",1,"year1",0.588631782202624,0.00413793103448276,0.99900714853058,0.873806630793265,"12.12",0.064294810704868
13,"xgbDART","none","FFS","MEDIAN","UNKNOWN","HARD",1,"year1",0.617188468787025,0.0103174603174603,0.998324094366379,0.860263945880004,"13.12",0.101489749371991
16,"xgbDART","none","FFS","MEDIAN","DROP","HARD",1,"year1",0.60220107261239,0.0347912524850895,0.993156011821434,0.863483523873571,"16.12",0.185884753447839
1,"xgbDART","down","FFS","DROP","UNKNOWN","LABEL",1,"year1",0.621602346136757,0.539906103286385,0.654890133563119,0.640977087672789,"1.3.6",0.594625243403578
4,"xgbDART","down","FFS","DROP","DROP","LABEL",1,"year1",0.618038673276547,0.572413793103448,0.596703733121525,0.593646936295782,"4.3.6",0.584432585706067
5,"xgbDART","down","FFS","MEDIAN","UNKNOWN","LABEL",1,"year1",0.613282677602003,0.546031746031746,0.627046538610287,0.615725851170012,"5.3.6",0.585138715451762
8,"xgbDART","down","FFS","MEDIAN","DROP","LABEL",1,"year1",0.619584638691416,0.482107355864811,0.689065173432882,0.661062542030935,"8.3.6",0.576370877805475
