data_scenario,algorithm,resampling,feature_selection,imputation_num,imputation_cat,encoding,fold,TARGET,auc,sen,spec,accu,ID,gmean
1,rpart,none,FFS,DROP,UNKNOWN,LABEL,1,year1,0.589780388,0.048513302,0.975657044,0.863472827,1.13,0.21755998
2,rpart,none,FFS,DROP,MISSING,LABEL,1,year1,0.594667892,0.037558685,0.980396381,0.866313198,2.13,0.191891634
3,rpart,none,FFS,DROP,MODE,LABEL,1,year1,0.594667892,0.037558685,0.980396381,0.866313198,3.13,0.191891634
4,rpart,none,FFS,DROP,DROP,LABEL,1,year1,0.590359755,0.017931034,0.992057188,0.869467106,4.13,0.133373954
5,rpart,none,FFS,MEDIAN,UNKNOWN,LABEL,1,year1,0.56914272,0.027777778,0.98891324,0.854607963,5.13,0.165740195
6,rpart,none,FFS,MEDIAN,MISSING,LABEL,1,year1,0.579913381,0.047619048,0.975892742,0.846179439,6.13,0.215571526
7,rpart,none,FFS,MEDIAN,MODE,LABEL,1,year1,0.574384171,0.050793651,0.969962614,0.84152157,7.13,0.221963831
8,rpart,none,FFS,MEDIAN,DROP,LABEL,1,year1,0.585488701,0.076540755,0.971379686,0.850302623,8.13,0.272672212
9,rpart,none,FFS,DROP,UNKNOWN,HARD,1,year1,0.59742728,0.034428795,0.985135717,0.87010036,9.13,0.184165783
10,rpart,none,FFS,DROP,MISSING,HARD,1,year1,0.59742728,0.034428795,0.985135717,0.87010036,10.13,0.184165783
11,rpart,none,FFS,DROP,MODE,HARD,1,year1,0.59742728,0.034428795,0.985135717,0.87010036,11.13,0.184165783
12,rpart,none,FFS,DROP,DROP,HARD,1,year1,0.589159021,0.012413793,0.994638602,0.871029335,12.13,0.111118126
13,rpart,none,FFS,MEDIAN,UNKNOWN,HARD,1,year1,0.602980462,0.026984127,0.990202398,0.855606077,13.13,0.163461761
14,rpart,none,FFS,MEDIAN,MISSING,HARD,1,year1,0.602980462,0.026984127,0.990202398,0.855606077,14.13,0.163461761
15,rpart,none,FFS,MEDIAN,MODE,HARD,1,year1,0.5680365,0.053174603,0.969833699,0.841743374,15.13,0.22709144
16,rpart,none,FFS,MEDIAN,DROP,HARD,1,year1,0.585488701,0.076540755,0.971379686,0.850302623,16.13,0.272672212
1,rpart,down,FFS,DROP,UNKNOWN,LABEL,1,year1,0.602435138,0.55086072,0.606850495,0.600075743,1.3.7,0.57817826
2,rpart,down,FFS,DROP,MISSING,LABEL,1,year1,0.573107418,0.477308294,0.654028436,0.632645332,2.3.7,0.558724617
3,rpart,down,FFS,DROP,MODE,LABEL,1,year1,0.573107418,0.477308294,0.654028436,0.632645332,3.3.7,0.558724617
4,rpart,down,FFS,DROP,DROP,LABEL,1,year1,0.562614691,0.513103448,0.564733916,0.558236417,4.3.7,0.538300027
5,rpart,down,FFS,MEDIAN,UNKNOWN,LABEL,1,year1,0.565885805,0.521428571,0.572901895,0.565709216,5.3.7,0.546559619
6,rpart,down,FFS,MEDIAN,MISSING,LABEL,1,year1,0.551995075,0.542063492,0.524558463,0.527004547,6.3.7,0.533239151
7,rpart,down,FFS,MEDIAN,MODE,LABEL,1,year1,0.549091246,0.534126984,0.525847622,0.527004547,7.3.7,0.529971135
8,rpart,down,FFS,MEDIAN,DROP,LABEL,1,year1,0.595412979,0.589463221,0.58189454,0.582918628,8.3.7,0.585666654
9,rpart,down,FFS,DROP,UNKNOWN,HARD,1,year1,0.601704415,0.549295775,0.609651012,0.60234804,9.3.7,0.57868707
10,rpart,down,FFS,DROP,MISSING,HARD,1,year1,0.601704415,0.549295775,0.609651012,0.60234804,10.3.7,0.57868707
11,rpart,down,FFS,DROP,MODE,HARD,1,year1,0.601704415,0.549295775,0.609651012,0.60234804,11.3.7,0.57868707
12,rpart,down,FFS,DROP,DROP,HARD,1,year1,0.571911342,0.457931034,0.63482923,0.612567263,12.3.7,0.539173447
13,rpart,down,FFS,MEDIAN,UNKNOWN,HARD,1,year1,0.578672617,0.506349206,0.606935671,0.592880115,13.3.7,0.55436576
14,rpart,down,FFS,MEDIAN,MISSING,HARD,1,year1,0.578672617,0.506349206,0.606935671,0.592880115,14.3.7,0.55436576
15,rpart,down,FFS,MEDIAN,MODE,HARD,1,year1,0.557283334,0.513492063,0.569936831,0.562049462,15.3.7,0.540978779
16,rpart,down,FFS,MEDIAN,DROP,HARD,1,year1,0.595412979,0.589463221,0.58189454,0.582918628,16.3.7,0.585666654
1,rpart,up,FFS,DROP,UNKNOWN,LABEL,1,year1,0.606440717,0.502347418,0.666307626,0.646468472,1.4.7,0.57854811
2,rpart,up,FFS,DROP,MISSING,LABEL,1,year1,0.578858642,0.483568075,0.662214563,0.640598372,2.4.7,0.56588499
3,rpart,up,FFS,DROP,MODE,LABEL,1,year1,0.578858642,0.483568075,0.662214563,0.640598372,3.4.7,0.56588499
4,rpart,up,FFS,DROP,DROP,LABEL,1,year1,0.545797431,0.44137931,0.658260524,0.630966846,4.4.7,0.539020015
5,rpart,up,FFS,MEDIAN,UNKNOWN,LABEL,1,year1,0.578257478,0.496825397,0.629238108,0.610735278,5.4.7,0.559125632
6,rpart,up,FFS,MEDIAN,MISSING,LABEL,1,year1,0.551751465,0.452380952,0.643934511,0.617167572,6.4.7,0.539725585
7,rpart,up,FFS,MEDIAN,MODE,LABEL,1,year1,0.550930138,0.45,0.645094753,0.617832982,7.4.7,0.538788121
8,rpart,up,FFS,MEDIAN,DROP,LABEL,1,year1,0.608651559,0.519880716,0.637735262,0.621788837,8.4.7,0.575800542
9,rpart,up,FFS,DROP,UNKNOWN,HARD,1,year1,0.607684886,0.492957746,0.67190866,0.650255633,9.4.7,0.575519399
10,rpart,up,FFS,DROP,MISSING,HARD,1,year1,0.607684886,0.492957746,0.67190866,0.650255633,10.4.7,0.575519399
11,rpart,up,FFS,DROP,MODE,HARD,1,year1,0.607684886,0.492957746,0.67190866,0.650255633,11.4.7,0.575519399
12,rpart,up,FFS,DROP,DROP,HARD,1,year1,0.572846813,0.437241379,0.665011914,0.636347856,12.4.7,0.539231608
13,rpart,up,FFS,MEDIAN,UNKNOWN,HARD,1,year1,0.58274426,0.494444444,0.624081475,0.605966508,13.4.7,0.555494031
14,rpart,up,FFS,MEDIAN,MISSING,HARD,1,year1,0.58274426,0.494444444,0.624081475,0.605966508,14.4.7,0.555494031
15,rpart,up,FFS,MEDIAN,MODE,HARD,1,year1,0.55968654,0.462698413,0.651798376,0.625374293,15.4.7,0.54916853
16,rpart,up,FFS,MEDIAN,DROP,HARD,1,year1,0.608651559,0.519880716,0.637735262,0.621788837,16.4.7,0.575800542
1,rpart,rose,FFS,DROP,UNKNOWN,LABEL,1,year1,0.587307728,0.300469484,0.811934511,0.75004734,1.5.7,0.493924633
2,rpart,rose,FFS,DROP,MISSING,LABEL,1,year1,0.558637742,0.233176839,0.794269711,0.72637758,2.5.7,0.430354854
3,rpart,rose,FFS,DROP,MODE,LABEL,1,year1,0.558637742,0.233176839,0.794269711,0.72637758,3.5.7,0.430354854
4,rpart,rose,FFS,DROP,DROP,LABEL,1,year1,0.580616253,0.299310345,0.791104051,0.729213678,4.5.7,0.486606233
5,rpart,rose,FFS,MEDIAN,UNKNOWN,LABEL,1,year1,0.542331453,0.218253968,0.846848008,0.759010757,5.5.7,0.429916199
6,rpart,rose,FFS,MEDIAN,MISSING,LABEL,1,year1,0.562923964,0.35952381,0.747582828,0.693356992,6.5.7,0.518434014
7,rpart,rose,FFS,MEDIAN,MODE,LABEL,1,year1,0.550111011,0.277777778,0.81719737,0.741821005,7.5.7,0.476444403
