"data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET","auc","sen","spec","accu","ID","gmean"
"1","xgbDART","none","FFS","DROP","UNKNOWN","LABEL","1","year1",0.599837909163055,0.0172143974960876,0.995045239121068,0.876727892444613,"1.12",0.130878203963913
"2","xgbDART","none","FFS","DROP","MISSING","LABEL","1","year1",0.597260570459956,0.0250391236306729,0.995260663507109,0.877864040901344,"2.12",0.157862138583956
"3","xgbDART","none","FFS","DROP","MODE","LABEL","1","year1",0.597260570459956,0.0250391236306729,0.995260663507109,0.877864040901344,"3.12",0.157862138583956
"4","xgbDART","none","FFS","DROP","DROP","LABEL","1","year1",0.616263454849223,0.00551724137931034,0.998610007942812,0.87363304981774,"4.12",0.0742264943104247
"5","xgbDART","none","FFS","MEDIAN","UNKNOWN","LABEL","1","year1",0.612850604983518,0.00873015873015873,0.998839757638262,0.860485749140512,"5.12",0.0933810988914529
"6","xgbDART","none","FFS","MEDIAN","MISSING","LABEL","1","year1",0.592053976848357,0.0119047619047619,0.997163852004641,0.859487634468227,"6.12",0.108954110698727
"7","xgbDART","none","FFS","MEDIAN","MODE","LABEL","1","year1",0.594471148435309,0.0150793650793651,0.997550599458554,0.860263945880004,"7.12",0.122647583239031
"8","xgbDART","none","FFS","MEDIAN","DROP","LABEL","1","year1",0.60220107261239,0.0347912524850895,0.993156011821434,0.863483523873571,"8.12",0.185884753447839
"9","xgbDART","none","FFS","DROP","UNKNOWN","HARD","1","year1",0.589862647569076,0.0250391236306729,0.994829814735028,0.877485324749101,"9.12",0.157827965591114
"10","xgbDART","none","FFS","DROP","MISSING","HARD","1","year1",0.589862647569076,0.0250391236306729,0.994829814735028,0.877485324749101,"10.12",0.157827965591114
"11","xgbDART","none","FFS","DROP","MODE","HARD","1","year1",0.589862647569076,0.0250391236306729,0.994829814735028,0.877485324749101,"11.12",0.157827965591114
"12","xgbDART","none","FFS","DROP","DROP","HARD","1","year1",0.588631782202624,0.00413793103448276,0.99900714853058,0.873806630793265,"12.12",0.064294810704868
"13","xgbDART","none","FFS","MEDIAN","UNKNOWN","HARD","1","year1",0.617188468787025,0.0103174603174603,0.998324094366379,0.860263945880004,"13.12",0.101489749371991
"14","xgbDART","none","FFS","MEDIAN","MISSING","HARD","1","year1",0.617188468787025,0.0103174603174603,0.998324094366379,0.860263945880004,"14.12",0.101489749371991
"15","xgbDART","none","FFS","MEDIAN","MODE","HARD","1","year1",0.599996163219702,0.0111111111111111,0.996777104550728,0.859044027947211,"15.12",0.105239256751817
"16","xgbDART","none","FFS","MEDIAN","DROP","HARD","1","year1",0.60220107261239,0.0347912524850895,0.993156011821434,0.863483523873571,"16.12",0.185884753447839
"1","xgbDART","down","FFS","DROP","UNKNOWN","LABEL","1","year1",0.621602346136757,0.539906103286385,0.654890133563119,0.640977087672789,"1.3.6",0.594625243403578
"2","xgbDART","down","FFS","DROP","MISSING","LABEL","1","year1",0.601031171470394,0.464788732394366,0.684403274450668,0.657829956447643,"2.3.6",0.564006143919088
"3","xgbDART","down","FFS","DROP","MODE","LABEL","1","year1",0.601031171470394,0.464788732394366,0.684403274450668,0.657829956447643,"3.3.6",0.564006143919088
"4","xgbDART","down","FFS","DROP","DROP","LABEL","1","year1",0.618038673276547,0.572413793103448,0.596703733121525,0.593646936295782,"4.3.6",0.584432585706067
"5","xgbDART","down","FFS","MEDIAN","UNKNOWN","LABEL","1","year1",0.613282677602003,0.546031746031746,0.627046538610287,0.615725851170012,"5.3.6",0.585138715451762
"6","xgbDART","down","FFS","MEDIAN","MISSING","LABEL","1","year1",0.607911645600185,0.526984126984127,0.629109191697821,0.61483863812798,"6.3.6",0.575786903432655
"7","xgbDART","down","FFS","MEDIAN","MODE","LABEL","1","year1",0.607940907444582,0.527777777777778,0.628722444243909,0.614616834867473,"7.3.6",0.576043170658296
"8","xgbDART","down","FFS","MEDIAN","DROP","LABEL","1","year1",0.619584638691416,0.482107355864811,0.689065173432882,0.661062542030935,"8.3.6",0.576370877805475
"9","xgbDART","down","FFS","DROP","UNKNOWN","HARD","1","year1",0.619771913110141,0.552425665101721,0.64218009478673,0.63131982579057,"9.3.6",0.595614611957804
"10","xgbDART","down","FFS","DROP","MISSING","HARD","1","year1",0.619771913110141,0.552425665101721,0.64218009478673,0.63131982579057,"10.3.6",0.595614611957804
"11","xgbDART","down","FFS","DROP","MODE","HARD","1","year1",0.619771913110141,0.552425665101721,0.64218009478673,0.63131982579057,"11.3.6",0.595614611957804
"12","xgbDART","down","FFS","DROP","DROP","HARD","1","year1",0.602243159595738,0.478620689655172,0.675536139793487,0.650755077243534,"12.3.6",0.568617246585919
"13","xgbDART","down","FFS","MEDIAN","UNKNOWN","HARD","1","year1",0.624639649594529,0.596825396825397,0.600489880108289,0.599977819673949,"13.3.6",0.598654834596084
"14","xgbDART","down","FFS","MEDIAN","MISSING","HARD","1","year1",0.624639649594529,0.596825396825397,0.600489880108289,0.599977819673949,"14.3.6",0.598654834596084
"15","xgbDART","down","FFS","MEDIAN","MODE","HARD","1","year1",0.612274218268804,0.508730158730159,0.64535258476215,0.626261506044139,"15.3.6",0.572983702109377
"16","xgbDART","down","FFS","MEDIAN","DROP","HARD","1","year1",0.619584638691416,0.482107355864811,0.689065173432882,0.661062542030935,"16.3.6",0.576370877805475
"1","xgbDART","up","FFS","DROP","UNKNOWN","LABEL","1","year1",0.607582904675889,0.496087636932707,0.66803102111159,0.647225904184814,"1.4.6",0.575675195453992
"2","xgbDART","up","FFS","DROP","MISSING","LABEL","1","year1",0.600496318906305,0.486697965571205,0.687203791469194,0.662942624502935,"2.4.6",0.578325762214408
"3","xgbDART","up","FFS","DROP","MODE","LABEL","1","year1",0.600496318906305,0.486697965571205,0.687203791469194,0.662942624502935,"3.4.6",0.578325762214408
"4","xgbDART","up","FFS","DROP","DROP","LABEL","1","year1",0.605922735613924,0.482758620689655,0.664614773629865,0.64172886651623,"4.4.6",0.566434913655153
"5","xgbDART","up","FFS","MEDIAN","UNKNOWN","LABEL","1","year1",0.61725696810459,0.542857142857143,0.640067036225345,0.626483309304647,"5.4.6",0.589461586977752
"6","xgbDART","up","FFS","MEDIAN","MISSING","LABEL","1","year1",0.607946688193563,0.53015873015873,0.632718834601006,0.618387490296107,"6.4.6",0.579173043139596
"7","xgbDART","up","FFS","MEDIAN","MODE","LABEL","1","year1",0.612102483982721,0.533333333333333,0.635297150960423,0.621049129422202,"7.4.6",0.582086889715695
"8","xgbDART","up","FFS","MEDIAN","DROP","LABEL","1","year1",0.614667261634735,0.481113320079523,0.6882874475035,0.660255548083389,"8.4.6",0.575451352450812
